country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Occupied Palestinian Territory,2.16,3.67,6.65,14.12,28.70,42.53,48.79,56.98,64.46,70.84,78.49,86.56,92.12,95.22,126.24,127.76
Oceania,51.62,60.12,66.93,74.81,81.69,86.88,90.18,92.15,93.29,94.30,94.54,95.51,96.08,96.71,86.26,86.64
Oman,1.56,2.34,3.45,5.23,8.01,12.15,18.29,27.09,38.75,54.12,64.08,76.58,84.12,88.79,92.04,93.91
Pakistan,2.39,3.22,4.32,5.50,7.19,9.54,12.75,15.68,17.70,21.70,26.59,31.20,35.89,41.28,47.39,52.78
Panama,19.75,23.43,26.73,33.28,40.17,48.83,57.35,62.38,63.93,66.19,69.32,73.66,76.17,80.91,99.64,104.49
Papua New Guinea,,,,,,,,,,,,,,,57.26,63.09
Paraguay,9.25,10.58,12.86,15.99,19.01,22.74,26.79,31.38,35.65,41.90,48.23,54.53,60.38,65.89,70.86,75.06
Peru,15.16,18.84,20.59,25.80,34.00,42.51,49.52,55.96,60.85,65.37,70.14,74.65,80.61,85.51,107.20,109.67
Philippines,19.55,22.29,24.24,29.05,38.23,46.46,51.73,59.32,64.22,68.45,74.55,76.96,80.22,81.20,83.50,85.53
Poland,87.40,90.81,96.45,98.52,99.33,99.62,99.71,99.73,99.74,99.76,99.73,99.62,98.82,99.24,124.36,125.19
Polynesia,14.91,19.73,24.85,32.32,41.92,50.65,61.25,69.33,78.12,84.64,84.94,91.71,95.37,97.26,97.85,97.96
Portugal,7.51,8.45,10.30,15.07,22.28,31.30,41.31,50.98,59.32,69.80,80.46,86.04,90.89,93.18,119.98,121.74
Puerto Rico,39.26,46.89,56.14,64.03,74.41,83.80,87.45,90.94,93.92,93.74,95.14,96.07,96.68,97.12,115.02,114.31
Qatar,8.02,12.58,18.77,26.31,34.54,37.09,47.76,57.31,64.18,64.44,68.38,73.50,76.97,81.85,85.66,86.56
Republic of Korea,11.52,15.01,22.69,35.68,53.24,70.06,83.65,93.11,98.03,99.31,99.52,99.70,98.92,99.88,115.04,115.60
Republic of Moldova,21.82,27.65,52.09,67.54,88.74,95.23,97.38,97.85,98.01,98.11,97.46,97.35,97.82,98.06,98.22,98.22
Reunion,8.99,14.60,21.50,24.17,33.02,40.24,46.13,56.83,64.31,74.35,80.40,87.54,88.13,91.58,94.06,94.99
Romania,44.62,44.66,51.79,62.21,81.68,91.38,94.11,95.98,96.96,96.33,94.44,96.05,95.07,97.93,125.26,126.61
Russian Federation,67.44,47.19,71.21,86.96,95.74,98.15,98.84,99.12,99.13,99.08,98.96,98.95,98.58,98.89,117.61,118.92
Rwanda,0.12,0.20,0.34,0.55,0.80,1.13,1.24,2.13,3.72,5.36,7.47,11.47,16.30,21.50,24.83,30.46
Saint Lucia,6.29,9.07,11.33,16.67,22.05,30.82,43.32,48.91,52.79,63.96,76.91,82.04,83.14,88.26,109.94,113.13
Saint Vincent and the Grenadines,5.64,8.57,11.59,15.85,21.23,29.30,37.23,40.75,49.28,57.30,63.59,72.09,78.13,82.67,86.19,88.36
Samoa,7.97,10.46,15.04,22.08,30.20,39.77,54.83,65.18,69.36,79.00,72.43,84.28,92.38,96.44,97.03,96.91
Sao Tome and Principe,0.34,0.75,1.46,1.47,2.74,4.57,6.76,9.06,10.82,12.18,17.67,16.33,29.00,40.00,49.50,58.01
Saudi Arabia,0.59,1.32,2.83,5.73,11.91,19.15,27.83,41.49,53.06,56.38,64.58,73.46,77.24,85.92,102.08,105.63
Senegal,0.35,0.69,1.27,2.32,4.40,6.03,6.73,7.79,8.93,8.80,9.63,13.66,18.18,24.56,30.01,36.39
Serbia,25.14,30.35,42.76,58.08,79.24,86.06,91.32,95.93,97.25,97.54,97.37,98.11,97.49,98.00,99.47,99.21
Seychelles,,,,,,,,,,,,,,,94.06,94.99
Sierra Leone,0.53,0.82,1.23,1.82,2.67,4.81,5.52,7.23,8.43,9.16,9.63,12.07,23.05,36.37,48.81,56.31
Singapore,7.72,13.68,22.15,32.89,48.10,60.90,70.45,80.34,88.54,93.61,96.59,97.89,98.70,99.20,99.55,99.01
Slovakia,99.82,99.83,99.86,99.90,99.92,99.89,99.90,99.89,99.88,99.89,99.87,99.94,99.90,99.99,121.23,122.53
Slovenia,65.83,75.49,83.10,88.66,92.53,95.64,96.43,98.23,99.09,99.28,99.47,99.51,99.19,99.56,116.63,117.98
Solomon Islands,1.31,0.71,1.28,2.82,5.07,6.79,8.74,12.14,19.57,20.92,27.82,39.01,42.69,49.92,57.26,63.12
Somalia,0.63,0.93,1.34,1.88,2.41,3.10,4.69,6.90,10.23,10.90,11.97,8.08,10.79,14.29,18.99,24.40
South Africa,17.99,22.36,25.67,29.65,31.91,35.59,43.56,52.50,63.75,73.82,81.17,84.54,88.73,89.34,98.93,100.90
South America,14.56,17.01,20.47,25.42,32.33,40.20,47.38,52.75,57.16,62.14,68.06,73.84,78.49,83.16,86.95,89.89
South Sudan,0.98,0.95,1.22,1.51,1.57,2.11,3.46,5.31,6.10,6.14,8.11,10.25,12.97,16.66,21.29,26.35
South-Eastern Asia,4.46,6.12,8.78,13.13,19.59,26.41,31.56,37.67,44.67,51.46,59.12,63.92,71.36,76.61,80.60,83.33
Southern Africa,15.99,19.90,22.91,27.09,29.65,33.18,40.83,49.74,60.91,69.77,76.08,80.72,85.49,86.15,89.77,91.09
Southern Asia,3.38,4.56,6.34,7.97,10.68,14.58,18.37,21.65,25.07,29.57,35.92,44.83,51.00,60.42,68.42,74.48
Southern Europe,21.60,26.30,33.33,41.71,54.76,68.85,79.20,85.96,89.82,92.24,93.89,94.92,94.77,95.70,96.33,96.30
Spain,19.12,23.18,30.91,43.09,56.48,69.41,78.86,84.39,88.29,91.12,92.75,92.01,90.15,90.14,126.57,128.99
Sri Lanka,18.40,23.66,31.56,38.98,47.71,53.07,58.03,62.89,70.04,77.27,83.28,87.21,90.73,93.29,95.18,96.49
Sudan,1.44,1.97,2.62,3.47,4.94,7.60,11.88,17.00,21.89,26.47,29.99,33.61,33.69,37.25,40.60,44.55
Suriname,13.06,17.47,23.89,30.16,35.30,46.27,56.37,62.08,67.57,69.57,72.53,76.79,81.10,83.70,87.69,89.31
Swaziland,0.76,1.66,3.44,5.86,12.10,17.32,25.08,34.10,40.39,45.64,45.70,44.48,43.88,44.00,47.40,51.11
Sweden,44.56,58.59,68.58,79.20,88.18,94.95,97.04,97.00,97.19,96.96,96.88,98.18,97.86,99.40,133.37,135.08
Switzerland,71.19,76.96,81.87,86.42,88.62,89.90,91.40,92.02,92.69,92.86,94.77,96.11,97.24,97.77,114.22,116.23
Syrian Arab Republic,1.91,3.02,4.65,6.75,9.88,13.69,18.95,23.93,28.12,32.08,31.66,36.56,41.49,46.61,62.14,68.29
Taiwan Province of China,8.29,13.59,16.27,26.45,39.52,53.64,77.53,90.75,96.60,98.00,98.25,98.93,99.52,99.60,132.00,132.99
Tajikistan,29.23,47.30,65.33,78.97,88.27,94.01,95.85,96.62,96.75,96.86,96.40,96.90,94.91,96.18,99.53,99.57
Thailand,4.38,5.62,7.29,9.63,14.87,19.56,27.79,35.73,42.65,54.42,69.86,80.29,84.49,92.13,94.98,96.33
The former Yugoslav Republic of Macedonia,5.94,13.01,24.14,36.46,52.14,63.75,74.48,82.22,85.81,88.27,90.45,93.41,94.59,94.82,95.71,96.06
Timor-Leste,1.61,1.24,1.58,1.42,1.69,4.56,6.95,11.73,22.56,35.71,40.68,50.44,60.85,67.96,75.24,80.93
Togo,0.36,0.57,1.39,1.75,2.67,4.11,5.72,6.52,7.10,7.47,8.43,13.65,14.69,27.36,32.30,38.41
