country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
El Salvador,6.32,8.38,11.04,14.30,18.38,23.67,30.30,36.56,41.64,45.97,51.28,55.98,60.16,65.18,69.73,73.65
Equatorial Guinea,2.72,4.87,8.08,11.45,18.44,20.90,24.25,25.45,27.36,29.28,26.16,25.06,32.96,36.49,41.01,45.71
Eritrea,,,,,,,,,,,,,,,28.65,33.62
Estonia,64.02,78.40,88.52,94.15,97.25,98.42,99.03,99.30,99.29,98.92,98.15,98.24,97.97,98.32,120.85,121.51
Ethiopia,0.57,0.79,0.94,1.24,1.85,2.74,3.81,4.89,6.00,7.29,8.97,11.73,12.76,15.18,19.62,25.24
Europe,59.39,59.10,71.19,79.22,85.69,90.52,93.26,94.73,95.48,96.10,96.59,97.28,97.10,97.85,98.09,97.94
Fiji,11.05,14.80,18.80,23.38,29.70,40.98,55.31,65.17,69.83,73.49,78.12,84.22,86.40,88.15,89.56,90.58
Finland,30.25,38.93,48.94,60.68,69.52,78.74,94.52,99.02,99.72,99.77,99.77,99.75,99.89,99.48,103.84,104.42
France,33.78,39.57,47.99,58.29,67.18,72.74,79.62,85.15,88.57,90.80,92.72,93.71,94.74,95.25,130.22,131.89
French Guiana,28.29,34.46,40.33,45.01,49.07,52.95,56.47,59.10,59.81,57.93,60.24,59.19,60.11,64.91,68.98,72.50
French Polynesia,17.97,25.72,31.58,40.23,52.44,59.76,65.00,70.66,77.10,82.80,88.34,92.25,95.01,96.24,96.85,97.14
Gabon,0.51,1.57,4.07,8.08,15.98,24.29,34.75,37.21,37.59,40.55,43.95,45.77,49.07,47.14,48.98,52.35
Gambia,0.03,0.22,1.32,6.03,8.56,10.69,12.97,16.47,21.52,25.14,30.40,38.00,46.68,50.47,54.15,60.33
Georgia,72.07,83.41,90.58,94.76,97.23,98.10,98.49,98.72,98.77,98.83,98.58,98.58,98.35,98.56,128.98,129.53
Germany,94.64,95.31,96.66,96.87,96.47,96.88,96.73,96.80,96.69,96.18,96.57,97.64,97.44,98.86,115.77,116.94
Ghana,18.64,22.07,24.98,32.23,39.04,48.84,49.04,48.32,48.54,51.00,55.40,58.65,60.17,60.87,66.42,70.79
Greece,20.60,25.74,29.47,36.89,45.24,58.55,67.51,77.25,84.42,88.12,89.16,90.69,92.37,93.15,121.38,122.64
Grenada,,,,,,,,,,,,,,,82.35,84.51
Guadeloupe,18.49,26.56,35.68,40.12,49.15,57.19,64.91,72.33,77.16,79.72,82.51,86.38,86.54,87.98,89.46,90.12
Guam,,,,,,,,,,,,,,,89.52,89.52
Guatemala,6.33,7.38,8.47,10.03,12.56,15.22,18.36,21.64,24.16,27.10,31.16,36.13,42.84,49.55,52.23,56.07
Guinea,0.71,1.02,1.80,3.10,5.34,9.38,10.36,9.16,9.11,9.47,12.62,17.36,24.36,29.61,31.42,37.61
Guinea-Bissau,0.62,1.05,1.72,2.86,4.85,6.98,9.89,13.82,15.35,18.24,22.35,25.40,29.76,28.02,26.42,29.78
Guyana,32.72,38.20,41.61,50.35,59.69,65.54,68.57,71.66,74.55,79.40,83.00,87.16,89.25,91.04,92.64,93.59
Haiti,5.21,6.20,7.34,7.99,9.98,12.25,15.52,20.69,27.60,32.43,41.96,41.97,40.06,45.53,52.54,58.70
