country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Guinea,1.22,1.68,3.02,5.22,8.94,15.25,15.84,13.66,14.02,14.82,19.95,25.89,34.43,39.15,38.29,44.21
Guinea-Bissau,1.14,1.99,3.37,5.51,8.61,12.14,18.04,24.00,23.84,26.14,30.68,32.66,38.40,34.85,26.93,30.50
Guyana,35.78,40.69,43.30,49.88,58.34,63.31,64.78,67.10,69.40,75.96,76.00,84.19,88.95,91.84,93.85,95.07
Haiti,6.11,7.55,9.04,9.45,12.11,14.47,18.13,24.31,31.94,36.01,45.59,43.55,40.15,45.85,53.19,59.41
Honduras,3.72,5.12,6.97,9.30,11.96,14.87,18.11,21.46,22.96,23.41,24.75,29.48,35.56,39.45,43.64,49.40
Hong Kong Special Administrative Region of China,19.58,28.23,40.02,45.19,50.88,55.42,64.27,76.93,86.01,90.16,93.23,95.14,97.46,97.46,135.54,135.69
Hungary,73.01,83.89,91.41,95.23,97.19,97.90,97.80,98.17,98.43,98.48,98.44,98.76,98.35,99.22,126.50,127.52
Iceland,100.00,99.96,99.90,99.95,99.90,99.99,99.96,99.94,99.98,99.95,99.96,99.96,99.97,99.96,106.84,107.44
India,16.62,19.78,23.53,27.51,32.25,37.00,40.26,43.22,46.88,50.94,55.26,60.80,63.70,70.12,77.39,83.21
Indonesia,6.29,9.33,15.12,20.56,25.50,30.49,34.61,43.22,54.42,59.54,63.36,68.12,73.00,76.26,90.21,94.84
Iran (Islamic Republic of),6.18,8.41,13.96,23.08,30.18,38.49,46.72,53.93,56.32,62.00,69.40,74.39,77.37,82.67,86.88,89.74
Iraq,7.22,10.68,17.55,25.45,32.76,38.93,43.57,46.07,46.69,45.63,43.55,44.46,38.49,44.89,51.48,57.86
Ireland,31.90,34.12,40.68,49.44,59.93,73.42,83.55,89.09,93.30,94.21,95.96,97.32,97.44,98.73,131.06,132.28
Israel,48.44,56.58,62.71,68.17,74.16,75.53,77.75,79.57,81.31,83.01,84.17,85.79,83.51,87.25,98.81,100.98
Italy,30.58,37.65,46.86,54.40,67.04,80.26,89.04,92.68,94.11,95.37,96.12,98.31,98.05,99.47,107.02,107.34
Jamaica,22.39,27.32,29.44,35.60,43.08,55.14,67.75,76.81,81.28,84.70,86.42,90.55,92.19,93.31,94.11,94.58
Japan,99.50,86.93,89.77,93.63,99.40,99.88,99.88,99.90,99.93,99.93,99.91,99.91,99.22,99.87,99.90,99.84
Jordan,14.71,22.74,32.11,44.04,50.87,54.79,58.50,62.02,63.59,64.58,62.06,66.23,71.72,76.51,101.31,105.70
Kazakhstan,58.57,64.52,77.71,86.74,94.98,97.58,98.47,98.91,98.91,98.87,98.85,98.84,98.82,98.74,98.83,98.73
Kenya,9.41,13.63,20.79,29.89,34.03,35.97,42.24,48.90,59.16,64.78,64.32,65.26,64.90,61.98,70.48,73.29
Kiribati,19.84,23.40,27.13,30.85,34.41,37.83,41.08,42.69,48.62,51.67,58.98,66.89,77.12,77.92,83.68,86.95
Kuwait,18.31,23.87,29.62,35.22,40.36,59.97,57.28,55.72,54.92,54.64,55.27,74.03,58.44,85.58,84.86,83.52
Kyrgyzstan,54.54,63.41,78.42,90.22,96.59,98.34,98.80,98.98,99.08,99.07,98.94,98.66,98.42,98.22,98.69,98.67
Lao People's Democratic Republic,3.30,4.94,7.16,9.97,13.61,16.99,22.54,24.44,27.82,27.47,29.73,36.68,41.63,46.66,50.94,57.02
Latin America and the Caribbean,14.05,17.22,21.39,26.92,33.38,40.31,46.80,52.01,55.64,59.30,63.41,67.93,72.22,76.04,79.31,82.17
Latvia,86.68,87.46,93.42,96.63,98.65,99.17,99.37,99.40,99.21,98.85,97.95,97.89,96.54,97.58,110.38,111.37
Lebanon,13.56,20.13,24.79,32.61,40.57,47.79,54.58,60.53,65.73,70.29,73.63,78.23,79.72,81.97,84.10,85.81
Lesotho,6.96,8.19,9.52,11.05,12.29,14.07,16.26,17.42,23.95,25.01,26.82,30.08,34.81,34.21,39.16,43.33
Liberia,7.09,10.84,16.09,21.55,30.12,40.19,42.86,44.59,44.59,40.88,39.65,39.26,32.46,30.97,34.64,39.76
Libyan Arab Jamahiriya,,,,,,,,,,,,,,,82.54,85.91
Lithuania,49.97,57.47,74.06,87.90,96.92,98.85,99.29,99.36,99.33,98.91,97.34,98.66,98.44,97.91,122.82,123.18
Luxembourg,58.85,63.80,67.88,73.55,74.40,78.07,79.99,81.06,83.50,86.55,90.33,94.13,94.51,97.92,114.64,116.26
Macao Special Administrative Region of China,8.94,14.76,22.52,31.87,42.12,40.67,51.68,64.24,74.66,83.05,88.82,91.79,95.60,95.69,95.99,95.11
Madagascar,3.65,5.51,8.22,13.13,14.01,16.69,19.05,22.86,21.34,15.45,17.16,15.14,18.34,23.01,27.66,32.64
Malawi,10.13,13.06,18.61,24.58,28.56,31.69,36.72,38.69,39.62,43.21,49.08,51.63,50.86,65.16,71.71,76.92
Malaysia,13.88,18.27,23.18,33.75,44.29,57.82,65.69,76.79,81.56,84.42,84.83,90.13,90.95,95.97,96.83,96.64
Maldives,0.19,0.48,1.04,2.14,4.01,8.10,11.09,13.58,19.84,36.52,49.55,68.54,76.95,84.28,97.91,99.41
Mali,1.26,1.91,2.57,3.59,5.91,9.45,10.85,10.04,9.55,10.29,13.96,17.45,24.46,29.47,36.56,43.88
Malta,34.19,38.18,46.91,51.47,50.80,56.56,81.59,99.27,99.60,99.47,99.37,99.84,99.50,99.99,99.96,99.58
Martinique,5.66,14.12,38.02,45.16,52.58,59.66,65.31,70.98,76.44,81.95,84.24,88.24,87.24,89.11,90.59,91.28
Mauritania,,,,,,,,,,,,,,,35.90,42.81
Mauritius,19.53,22.93,25.28,27.32,30.39,38.84,43.79,47.82,49.83,51.51,52.23,62.26,66.48,76.75,82.21,85.93
Mayotte,,,,,,,,,,,,,,,88.48,89.08
Melanesia,12.56,16.07,20.28,24.08,29.95,39.80,49.26,55.33,59.74,61.19,65.01,70.53,70.94,71.14,57.27,62.69
Mexico,5.69,9.60,15.17,22.38,30.87,39.13,48.93,58.22,65.06,69.11,71.60,76.88,81.51,84.77,98.86,101.37
Micronesia,14.10,22.13,34.36,45.57,56.96,63.49,66.57,64.92,67.22,69.74,72.55,74.88,76.71,78.52,84.01,85.76
Micronesia (Federated States of),7.58,20.85,41.07,59.44,78.20,84.17,85.71,83.03,82.28,82.02,81.81,81.28,76.28,79.11,80.86,82.74
Middle Africa,9.07,12.00,16.52,20.27,26.98,32.29,38.86,42.65,46.07,45.92,44.47,48.19,52.73,56.74,57.62,62.54
Mongolia,34.67,44.78,55.05,67.05,76.45,79.75,84.32,88.86,91.77,91.27,82.45,84.51,86.12,87.90,88.95,89.92
Montenegro,58.05,70.77,78.13,84.73,94.04,96.77,97.63,98.43,98.47,98.32,97.81,97.75,97.75,96.26,107.88,108.65
Morocco,0.74,1.96,7.11,11.16,17.88,20.68,22.70,27.37,32.54,32.55,34.86,41.94,44.57,54.52,68.10,74.47
Mozambique,1.94,2.56,3.35,4.63,5.50,7.99,11.90,14.82,14.32,14.51,18.24,24.46,27.42,30.96,28.90,29.54
Myanmar,8.04,11.33,14.81,17.58,19.79,23.03,22.91,22.29,25.46,25.34,26.82,32.22,39.22,43.81,49.34,55.91
Namibia,5.77,8.35,11.69,17.18,19.88,25.50,32.25,40.56,45.71,48.62,53.51,53.94,56.85,53.40,57.32,60.65
Nepal,4.84,6.58,8.61,11.43,15.76,21.23,26.79,33.69,40.63,45.20,50.00,57.62,62.05,69.79,76.86,82.22
Netherlands,76.63,81.02,82.51,86.57,86.18,88.37,90.76,91.52,93.00,93.85,94.28,95.09,94.74,94.23,121.36,122.17
New Caledonia,32.81,35.30,39.36,46.17,54.43,62.44,68.94,76.94,84.19,89.64,93.79,95.59,97.32,98.22,98.68,97.70
New Zealand,56.93,64.74,71.70,77.54,81.71,85.43,89.02,90.68,92.29,93.49,94.11,94.80,94.72,95.99,130.18,132.41
Nicaragua,4.42,6.45,9.34,12.22,17.04,22.76,27.95,31.30,30.19,29.80,33.18,35.43,38.62,43.53,48.52,53.30
Niger,0.09,0.20,0.41,0.66,1.51,3.00,4.14,5.38,6.55,6.51,6.61,8.40,7.22,11.57,15.25,19.99
Nigeria,6.30,8.40,12.02,13.47,17.06,21.70,32.01,41.75,46.75,49.28,54.28,59.80,66.22,68.29,69.81,73.50
Northern Africa,6.54,9.12,13.09,18.15,25.80,31.66,36.93,43.02,50.05,53.90,59.45,63.84,66.72,70.13,73.43,77.07
Northern America,80.54,83.09,87.31,90.80,93.19,94.15,94.50,94.70,94.74,94.63,94.81,96.11,96.52,97.66,98.10,98.25
Northern Europe,84.45,86.44,89.55,92.15,94.27,96.37,98.38,98.97,99.21,99.18,99.08,99.43,99.30,99.64,99.80,99.70
Norway,99.42,99.40,99.43,99.40,99.36,99.29,99.35,99.34,99.42,99.30,99.09,99.49,99.40,99.84,117.51,119.05
Occupied Palestinian Territory,8.18,17.60,32.04,47.70,58.47,63.67,66.16,68.96,71.58,74.16,77.51,81.49,84.98,86.50,105.91,108.47
Oceania,57.84,65.68,71.95,78.22,83.54,87.86,90.29,91.77,92.89,94.00,94.06,95.03,95.66,96.01,84.54,84.76
Oman,3.19,5.09,8.65,15.44,24.67,33.09,39.35,44.32,49.17,58.95,60.83,68.88,74.79,78.70,81.89,82.78
Pakistan,11.42,14.14,17.40,21.44,24.88,29.55,35.15,36.43,37.68,44.53,47.48,48.22,50.90,54.14,59.53,65.43
Panama,15.74,19.98,24.07,30.31,36.64,46.03,54.60,57.95,58.78,61.14,63.94,67.12,70.32,72.99,96.74,100.60
Papua New Guinea,,,,,,,,,,,,,,,54.31,60.34
Paraguay,10.92,13.05,15.29,18.29,21.21,24.45,28.01,33.20,37.64,42.67,46.88,51.71,56.98,62.30,67.23,71.63
Peru,20.84,26.46,30.29,38.49,48.27,56.86,63.26,67.32,71.41,75.12,78.00,81.43,85.16,88.56,105.93,107.61
Philippines,24.85,27.00,29.16,33.83,42.36,48.10,53.05,58.36,60.67,63.31,66.99,67.89,69.26,69.61,72.43,75.16
Poland,90.67,94.40,97.43,98.74,99.31,99.52,99.56,99.61,99.62,99.62,99.60,99.44,97.69,98.91,112.00,112.51
Polynesia,18.69,24.19,30.39,38.12,44.98,50.38,56.96,63.07,70.30,77.53,77.78,85.31,91.24,94.24,95.36,95.74
Portugal,11.09,12.56,15.34,20.77,26.28,32.98,39.71,45.57,51.42,61.52,73.19,79.45,85.31,88.46,105.69,108.00
Puerto Rico,43.26,52.67,56.94,64.07,71.63,77.11,82.67,85.27,86.93,87.75,89.50,92.61,95.26,96.21,119.96,118.68
Qatar,12.86,19.50,27.08,34.51,40.69,46.23,47.95,48.72,48.23,47.51,46.80,47.11,45.31,47.71,51.81,55.85
Republic of Korea,39.86,48.24,56.92,66.27,76.03,83.76,90.56,95.58,98.39,99.14,99.34,99.61,98.90,99.85,139.03,139.77
Republic of Moldova,33.64,45.96,63.06,80.36,93.30,95.88,96.93,97.27,97.33,97.52,96.37,96.74,97.38,97.71,97.95,98.02
Reunion,14.22,20.68,27.78,31.41,38.24,44.31,51.30,56.69,64.26,73.05,77.20,84.10,83.72,86.14,88.48,89.80
Romania,55.42,59.23,66.57,76.24,89.78,94.13,95.10,96.35,97.11,96.33,93.84,95.48,94.10,97.50,112.30,113.09
Russian Federation,72.31,56.21,74.55,86.64,94.76,97.23,98.23,98.68,98.71,98.49,98.19,98.17,97.83,98.15,124.17,124.39
Rwanda,0.84,1.26,1.92,2.73,3.38,3.67,4.10,5.70,8.19,10.31,11.69,15.24,17.28,23.49,29.80,36.56
Saint Lucia,9.41,12.34,14.31,17.43,23.28,29.76,35.75,38.66,41.64,49.94,62.07,68.36,71.65,78.13,108.75,113.05
Saint Vincent and the Grenadines,7.38,10.55,13.36,17.56,20.79,24.92,30.83,29.47,33.59,39.66,42.54,51.43,58.41,64.02,68.63,72.68
Samoa,9.99,13.40,18.70,27.25,33.40,37.50,47.91,55.64,59.71,70.63,63.34,77.32,88.22,94.18,95.63,95.87
Sao Tome and Principe,0.24,0.83,2.47,5.06,7.83,14.84,21.64,24.80,22.09,21.11,24.98,22.29,27.88,38.15,47.32,55.65
Saudi Arabia,9.33,15.99,24.78,34.51,46.76,52.89,54.17,57.97,60.73,64.62,63.38,75.69,82.64,90.14,105.67,107.71
Senegal,2.46,3.96,6.51,9.86,14.38,16.86,17.21,17.47,18.67,18.06,17.39,21.17,25.06,29.66,35.90,42.84
Serbia,44.53,52.84,65.71,78.12,88.17,92.43,95.39,97.34,97.81,97.68,97.41,98.17,97.38,97.70,99.42,99.25
Seychelles,,,,,,,,,,,,,,,88.48,89.66
Sierra Leone,2.38,3.52,5.17,7.46,10.58,18.21,19.44,25.05,25.73,25.12,26.36,34.20,47.23,60.04,60.80,75.39
Singapore,18.59,28.32,40.37,50.22,63.68,72.56,75.28,82.07,89.55,95.11,97.43,98.24,98.85,99.12,99.51,99.04
