country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Colombia,0.67,0.84,1.04,1.27,1.51,1.81,2.13,2.49,2.90,3.36,3.89,4.55,5.32,6.27,7.55,9.20,11.23,11.38,14.33,19.33,25.11,31.77,38.21,42.47,45.81,51.28,59.22,65.16,72.26,78.38
Comoros,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.03,0.04,0.05,0.08,0.13,0.20,0.35,0.62,1.16,3.08,3.60,5.04,9.85,16.89,21.98,25.63,26.77,31.86,38.57,45.50,51.07
Congo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.05,0.10,0.23,0.52,1.21,2.72,5.95,10.00,18.45,28.65,37.96,40.38,38.32,40.06,39.11,40.15,40.16,42.13
Costa Rica,0.73,0.92,1.11,1.34,1.57,1.84,2.15,2.52,2.93,3.46,4.14,5.02,6.07,7.36,9.20,11.59,14.61,17.58,21.42,26.32,32.16,37.87,43.30,45.88,43.50,44.95,50.31,56.69,62.75,67.87
Cote d'Ivoire,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.01,0.03,0.05,0.09,0.15,0.26,0.43,0.71,1.16,1.92,3.10,4.61,7.04,9.53,12.36,13.94,15.24,17.49,17.96,22.35,25.70,31.65
Croatia,19.12,22.23,25.43,28.74,32.11,35.57,38.95,41.91,44.44,47.13,49.65,51.62,52.86,53.43,53.74,54.73,55.98,59.55,65.77,79.02,89.52,92.90,95.30,97.84,98.76,98.93,98.86,99.30,99.10,99.51
Cuba,2.08,2.31,2.82,3.32,3.79,4.20,4.57,4.98,5.40,5.95,6.79,7.76,8.96,10.63,13.20,13.76,20.30,28.86,40.32,53.44,65.75,74.27,81.23,87.35,89.56,90.81,91.52,93.93,96.31,96.85
Curaçao,0.04,0.11,0.19,0.38,0.69,1.21,2.01,3.22,4.97,7.40,10.53,14.54,19.20,24.53,30.52,37.22,42.91,51.05,56.06,67.04,73.42,80.34,83.58,85.21,87.31,88.40,89.53,89.58,91.35,89.50
Cyprus,1.90,2.21,2.73,3.22,3.72,4.28,4.85,5.52,6.21,7.05,7.87,8.74,9.56,10.62,12.52,13.72,17.47,25.46,36.25,49.09,58.80,68.67,79.67,88.38,91.83,93.45,94.48,95.74,96.80,97.41
Czech Republic,75.87,79.17,82.99,86.12,88.70,90.58,92.08,93.33,94.38,95.24,95.96,96.59,97.07,97.46,97.80,98.08,98.17,98.44,98.86,99.12,99.22,99.04,99.09,99.25,99.32,99.38,99.31,99.39,99.26,99.51
