country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Iran (Islamic Republic of),3.00,4.49,8.12,13.98,19.37,25.46,30.98,33.20,34.21,37.91,42.63,46.30,49.39,52.85,58.82,63.74
Iraq,3.30,4.89,9.86,15.44,16.79,20.99,25.10,26.90,25.97,23.54,22.90,24.39,25.14,26.53,31.28,36.09
Ireland,18.81,22.59,27.93,35.37,42.67,50.64,59.37,65.20,75.13,78.65,85.60,88.39,89.89,92.16,125.63,127.32
Israel,30.55,36.66,41.23,45.65,50.99,51.89,52.81,53.76,55.17,57.46,60.39,65.15,62.78,68.13,81.53,85.33
Italy,11.31,15.19,20.28,25.36,33.69,41.72,46.41,46.63,49.21,55.42,60.54,67.55,75.06,77.63,89.27,92.63
Jamaica,5.89,7.60,8.71,10.79,13.85,16.62,16.71,15.72,16.37,19.49,21.77,24.92,29.55,34.33,39.22,44.47
Japan,56.24,55.18,60.77,66.67,75.14,81.43,87.69,89.78,89.29,89.35,89.70,90.36,90.53,91.46,91.80,91.98
Jordan,11.65,18.23,26.06,36.87,43.22,45.72,48.67,51.23,49.58,47.16,46.35,50.17,54.72,58.79,82.28,86.24
Kazakhstan,35.54,41.36,53.16,64.73,78.53,83.56,86.57,88.33,88.51,88.06,89.60,90.62,91.33,92.90,94.14,94.16
Kenya,3.35,4.27,6.34,10.27,14.87,19.74,24.66,28.15,30.17,28.57,29.33,34.92,29.98,31.00,40.28,44.42
Kiribati,7.74,9.58,11.56,13.56,15.46,17.45,18.76,20.02,24.02,28.86,35.89,43.24,52.02,55.46,62.22,66.99
Kuwait,10.26,13.26,16.17,18.68,20.53,30.73,27.14,23.78,20.68,20.08,19.83,27.76,22.13,34.90,37.07,41.71
Kyrgyzstan,28.19,36.15,48.45,64.83,74.95,77.72,78.60,78.71,80.28,81.75,84.20,86.95,86.71,89.20,91.65,92.88
Lao People's Democratic Republic,2.06,3.14,4.63,6.58,8.96,11.66,15.59,16.30,17.07,15.26,16.15,20.70,24.85,29.33,34.28,40.71
Latin America and the Caribbean,7.79,9.82,12.48,16.26,20.72,25.14,29.10,32.13,34.10,36.67,40.56,44.78,48.97,53.13,56.99,60.72
Latvia,40.52,42.10,52.86,59.09,71.52,79.73,86.09,88.79,87.95,80.94,73.36,74.35,76.14,76.16,91.16,94.26
Lebanon,4.65,7.63,10.07,14.14,18.77,22.91,27.22,31.15,34.70,38.50,44.52,51.66,56.04,61.87,66.94,71.10
Lesotho,4.28,4.90,5.51,6.05,6.88,7.46,6.61,8.30,12.01,13.33,14.56,16.82,24.21,20.22,23.91,27.32
Liberia,2.69,4.21,6.37,8.59,12.32,17.17,17.53,17.80,16.80,14.58,14.00,18.60,10.54,10.60,12.52,15.34
Libyan Arab Jamahiriya,,,,,,,,,,,,,,,61.09,66.53
Lithuania,28.05,32.10,44.04,55.61,75.31,85.92,90.47,91.68,91.04,85.33,78.26,81.76,86.30,85.15,111.52,113.18
Luxembourg,40.62,46.04,49.28,56.32,58.41,60.49,62.11,62.53,62.76,65.50,70.09,74.91,79.54,81.23,99.59,102.63
Macao Special Administrative Region of China,4.21,7.12,11.12,16.09,21.74,20.21,27.26,33.83,40.85,52.23,68.08,75.19,83.75,85.52,88.47,88.31
Madagascar,1.62,2.25,3.34,4.05,4.29,6.19,6.11,6.01,5.52,4.05,4.93,6.71,6.44,8.46,10.63,13.09
Malawi,1.63,2.16,2.92,4.14,5.31,6.18,7.71,9.09,11.08,14.53,17.44,21.05,19.17,26.97,32.19,37.18
Malaysia,9.73,12.39,15.69,22.55,29.37,38.61,47.07,56.83,62.28,66.45,70.54,78.08,82.97,88.07,90.48,91.27
Maldives,0.02,0.10,0.27,0.72,1.70,3.98,6.30,9.38,12.74,17.11,21.16,28.45,30.13,32.23,46.20,51.75
Mali,0.48,0.78,1.18,1.69,2.68,4.55,5.11,4.36,4.13,4.90,6.76,10.66,12.09,15.00,19.12,23.57
Malta,12.86,14.03,18.69,20.39,21.24,25.36,30.02,37.17,42.66,45.71,46.00,54.67,63.98,70.27,75.84,80.25
Martinique,1.64,5.59,21.68,27.02,32.98,38.71,43.36,48.69,54.24,60.12,63.58,73.31,67.89,71.53,74.35,76.07
Mauritania,,,,,,,,,,,,,,,14.04,17.47
Mauritius,10.68,13.19,15.10,16.85,19.35,27.76,31.12,30.74,31.89,34.18,36.84,45.99,52.70,61.17,67.56,72.47
Mayotte,,,,,,,,,,,,,,,68.37,70.38
Melanesia,6.33,7.65,9.35,10.48,14.33,19.26,21.17,23.53,28.03,33.79,38.76,48.32,47.47,50.35,37.18,42.30
Mexico,3.29,5.57,8.90,13.30,18.37,23.27,29.44,33.67,34.98,35.80,38.43,43.59,48.71,52.87,69.12,74.04
Micronesia,5.25,8.76,15.00,21.70,29.87,35.45,34.98,32.41,34.10,37.33,40.32,45.15,49.32,53.69,62.43,66.49
Micronesia (Federated States of),2.42,7.93,18.20,29.37,43.44,49.95,47.16,42.51,42.26,43.08,43.33,46.69,46.50,51.97,56.55,60.93
Middle Africa,1.96,2.70,3.98,5.25,7.74,10.02,12.77,14.36,16.45,16.36,16.62,19.29,28.23,24.53,26.16,29.71
Mongolia,16.83,31.89,39.52,50.15,56.70,56.17,57.72,62.55,65.56,63.90,58.55,65.90,72.19,76.82,80.06,82.59
Montenegro,39.67,54.86,58.10,63.29,76.35,80.68,83.73,85.03,84.59,85.08,85.03,87.95,91.55,90.69,103.71,104.93
Morocco,0.36,0.97,3.66,5.80,9.36,11.10,14.11,17.54,18.35,16.21,16.16,21.20,25.42,31.95,44.02,51.96
Mozambique,0.47,0.72,1.08,1.73,2.24,3.62,5.81,7.51,7.00,6.89,8.90,12.04,13.12,16.33,14.69,15.74
Myanmar,4.01,5.81,7.32,8.48,9.30,10.41,9.70,9.77,10.93,11.17,13.50,16.87,23.74,24.66,28.94,34.06
Namibia,3.66,5.32,7.47,10.64,12.76,15.79,19.31,24.37,27.43,27.57,28.75,29.36,31.91,29.84,34.56,39.24
Nepal,3.06,4.32,5.77,8.04,11.27,15.55,20.41,26.01,31.40,34.16,37.93,44.93,49.84,57.11,64.75,70.94
Netherlands,30.08,38.17,43.93,51.20,54.19,58.05,61.12,62.93,66.16,68.04,69.21,71.72,72.46,73.00,101.16,103.26
New Caledonia,18.88,20.65,24.44,30.19,35.68,42.45,47.57,53.19,56.89,61.34,68.24,75.33,76.52,80.92,84.18,85.27
New Zealand,26.32,34.15,42.64,51.38,59.50,73.51,77.34,78.46,80.57,83.68,85.25,86.68,86.80,89.18,124.89,127.86
Nicaragua,3.09,4.51,6.55,8.58,11.91,15.73,18.99,20.35,18.87,19.32,22.05,24.34,26.98,30.90,34.97,38.96
Niger,0.05,0.10,0.21,0.37,0.73,1.13,1.82,2.15,2.41,2.55,2.32,2.79,2.62,3.41,4.73,6.43
Nigeria,4.18,5.62,8.04,8.99,11.72,15.42,22.81,30.06,34.04,36.39,40.41,44.76,55.26,51.68,53.60,57.14
Northern Africa,5.03,6.65,8.99,12.40,17.79,21.18,25.37,29.63,33.56,36.45,40.82,45.47,49.33,54.83,58.85,63.89
Northern America,60.79,68.14,73.05,77.66,81.64,82.63,82.02,82.03,82.46,82.08,81.72,83.75,85.06,86.65,87.74,88.22
Northern Europe,31.05,37.18,43.51,50.22,57.27,63.04,66.01,66.94,68.37,71.69,74.07,76.04,78.69,78.74,81.33,83.45
Norway,42.38,50.22,56.62,62.92,66.27,67.96,64.97,64.33,68.03,70.35,68.84,68.35,74.59,67.00,87.70,92.17
Occupied Palestinian Territory,5.34,11.01,18.27,28.95,35.95,36.00,38.13,38.60,40.27,39.21,38.80,45.61,48.33,54.98,71.92,77.25
Oceania,44.46,52.50,59.37,66.35,72.86,79.37,81.74,82.93,84.48,86.97,87.25,88.99,90.23,91.05,75.65,74.72
Oman,2.28,3.76,6.77,12.24,18.60,23.11,26.11,29.41,32.56,41.47,48.22,54.85,61.12,65.82,69.93,71.66
Pakistan,7.22,9.16,11.56,14.62,17.33,20.63,23.90,24.53,26.19,32.10,32.74,32.33,35.48,40.07,44.49,50.38
Panama,9.00,11.55,14.79,19.65,24.22,31.29,37.05,38.70,40.01,42.20,44.04,47.31,50.21,53.70,78.04,82.62
Papua New Guinea,,,,,,,,,,,,,,,34.09,39.60
Paraguay,7.25,8.65,9.92,11.75,13.43,15.37,18.01,21.52,24.10,28.19,32.83,35.76,40.72,45.88,50.90,55.59
Peru,18.13,23.00,26.33,33.46,41.80,49.44,55.03,58.82,63.14,66.92,69.88,73.55,77.72,82.94,99.79,102.17
Philippines,22.83,24.29,26.52,30.99,38.76,43.93,48.63,53.39,55.40,57.99,61.18,62.58,64.01,65.13,68.41,71.49
Poland,28.58,38.58,46.07,55.12,67.29,72.61,78.56,81.89,82.37,83.38,84.21,85.47,89.68,87.16,101.30,102.46
Polynesia,6.13,8.97,12.40,17.44,21.95,23.87,27.41,29.57,31.51,35.38,39.68,47.54,53.84,58.39,62.07,65.54
Portugal,5.95,6.28,7.77,10.69,13.50,17.94,21.04,23.03,27.40,35.76,43.06,49.14,56.59,59.60,80.25,85.89
Puerto Rico,29.44,38.03,39.24,45.31,54.12,60.73,64.86,68.34,71.48,72.08,73.68,78.00,81.38,83.70,108.48,107.67
Qatar,8.75,13.67,19.36,24.98,29.69,36.22,37.04,36.43,35.01,33.42,31.77,32.24,30.56,33.17,37.04,42.35
Republic of Korea,21.65,32.24,37.59,42.92,51.48,60.83,72.02,82.97,89.77,92.10,92.97,94.76,94.29,95.21,134.39,134.96
Republic of Moldova,12.44,18.03,27.76,37.51,51.70,54.21,57.90,59.50,58.63,60.71,59.05,57.18,63.20,67.86,71.65,74.94
