country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Iraq,0.00,0.00,0.01,0.01,0.02,0.03,0.05,0.08,0.14,0.23,0.36,0.59,0.94,1.43,2.14,3.11,4.51,5.79,7.16,14.14,21.01,24.37,35.51,46.71,58.19,62.14,60.19,60.63,57.49,60.82
Ireland,98.44,98.50,98.55,98.60,98.65,98.69,98.73,98.77,98.81,98.83,98.88,98.89,98.93,98.94,98.97,99.01,99.06,98.84,99.15,99.37,99.51,99.58,99.62,99.62,99.63,99.62,99.59,99.64,99.58,99.58
Israel,5.45,7.16,9.30,11.92,15.03,18.64,22.71,27.16,31.85,36.66,41.40,46.01,50.44,54.94,60.01,67.94,70.47,72.98,78.27,85.00,90.27,92.66,93.83,94.62,95.34,96.11,96.50,97.60,97.29,96.69
Italy,4.06,5.36,6.96,8.86,11.07,13.63,16.67,20.29,24.58,29.63,35.46,42.04,49.21,56.76,64.40,71.69,78.25,83.84,88.35,91.09,95.00,96.89,97.88,98.50,98.77,98.94,99.05,99.33,99.41,99.65
Jamaica,2.40,3.32,4.51,5.95,7.69,9.74,12.13,14.91,18.17,21.83,25.92,30.38,35.28,40.59,46.19,51.90,57.49,63.59,67.86,73.10,79.86,87.43,93.51,96.87,98.06,98.64,98.98,99.41,99.55,99.64
Japan,9.96,15.45,23.21,33.31,45.22,57.71,69.28,78.83,86.00,91.01,94.35,96.50,97.88,98.69,99.22,99.51,99.66,99.72,99.78,99.84,99.88,99.89,99.90,99.91,99.93,99.94,99.94,99.93,99.93,99.89
Jordan,0.00,0.00,0.01,0.02,0.03,0.05,0.09,0.14,0.21,0.34,0.54,0.84,1.29,2.00,3.08,4.70,7.17,11.04,17.28,65.28,71.81,75.12,78.03,79.56,79.23,80.19,80.82,82.01,85.53,88.42
Kazakhstan,4.10,6.13,9.02,12.96,18.12,24.48,31.87,39.87,47.91,55.51,62.27,67.95,72.60,76.33,73.92,80.94,82.59,85.35,90.37,94.12,97.76,99.07,99.50,99.65,99.64,99.63,99.62,99.65,99.55,99.55
Kenya,0.03,0.04,0.08,0.16,0.25,0.39,0.58,0.81,1.11,1.45,1.87,2.32,2.81,3.30,3.78,4.48,4.45,5.83,8.21,13.45,23.34,32.78,43.56,55.14,64.39,70.84,72.32,76.78,78.12,76.01
Kiribati,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.05,0.10,0.20,0.37,0.70,1.32,2.42,4.33,7.53,12.49,19.44,28.26,38.38,48.57,59.51,66.92,72.58,79.03,82.70,86.35,92.13,91.68
Kuwait,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.05,0.09,0.18,0.35,0.64,1.16,2.09,3.68,6.33,10.52,16.59,24.48,33.57,42.59,67.16,70.13,68.35,66.48,65.16,64.28,83.28,77.90,97.38
Kyrgyzstan,0.03,0.06,0.13,0.25,0.48,0.91,1.72,3.09,5.40,9.02,14.27,21.26,29.87,39.56,49.71,59.64,70.08,76.01,85.69,92.72,97.68,99.16,99.59,99.66,99.67,99.64,99.58,99.69,99.65,99.24
Lao People's Democratic Republic,0.01,0.01,0.01,0.02,0.03,0.05,0.08,0.12,0.19,0.29,0.45,0.70,1.07,1.60,2.39,3.53,5.28,7.85,11.47,16.24,22.11,27.84,37.47,46.19,55.39,57.76,60.12,66.34,72.24,77.38
Latin America and the Caribbean,4.24,4.42,5.04,5.90,7.17,8.72,10.46,12.37,14.36,16.67,18.92,21.13,23.52,26.19,28.95,32.22,35.47,38.54,43.05,48.59,55.73,62.84,69.68,74.98,79.05,82.63,85.60,88.51,91.29,92.59
Latvia,61.00,65.70,70.08,74.00,77.50,80.58,83.33,85.72,87.83,89.63,91.18,92.52,93.62,94.59,95.46,95.97,97.29,97.19,98.99,99.55,99.73,99.80,99.80,99.76,99.72,99.68,99.58,99.48,99.62,99.07
Lebanon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.04,0.10,0.25,0.61,1.44,3.16,6.58,12.58,21.76,28.76,41.96,55.56,67.82,77.71,85.12,90.23,93.83,95.37,98.11,98.32,98.07
Lesotho,0.00,0.01,0.01,0.02,0.03,0.07,0.10,0.19,0.30,0.48,0.76,1.18,1.81,2.69,3.94,5.64,7.87,10.73,14.30,18.32,24.28,32.83,44.78,59.11,70.15,76.41,78.80,82.52,83.17,85.31
Liberia,0.04,0.05,0.09,0.11,0.15,0.19,0.25,0.31,0.41,0.52,0.67,0.86,1.08,1.38,1.75,2.21,2.85,3.63,4.89,5.62,7.70,11.96,16.22,20.96,24.68,27.42,33.76,36.68,40.59,50.91
Lithuania,0.03,0.07,0.16,0.37,0.80,1.67,3.31,6.27,11.17,18.40,27.98,39.21,50.93,62.03,70.53,80.95,85.78,86.30,93.81,97.42,99.10,99.58,99.65,99.68,99.68,99.55,99.27,99.26,99.70,98.80
Luxembourg,99.89,99.89,99.88,99.89,99.89,99.88,99.89,99.89,99.90,99.91,99.90,99.90,99.91,99.91,99.91,99.91,99.93,99.94,99.95,99.96,99.96,99.97,99.97,99.98,99.98,99.99,99.98,99.99,100.00,99.99
Macao Special Administrative Region of China,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.08,0.19,0.46,1.09,2.45,5.23,10.25,18.19,28.98,41.51,54.15,65.57,85.19,88.67,91.89,94.50,96.54,97.79,98.18,98.65,98.65
