country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Eritrea,,,,,,,,,,,,,,,34.22,40.51
Estonia,98.33,98.96,99.54,99.78,99.87,99.89,99.89,99.87,99.83,99.78,99.76,99.79,99.77,99.83,129.70,130.19
Ethiopia,0.67,0.87,0.96,1.29,1.94,2.61,3.67,4.98,7.00,9.88,13.46,19.47,23.29,27.83,35.48,44.45
Europe,88.26,90.08,93.39,94.95,96.75,97.75,98.37,98.74,99.00,99.17,99.25,99.38,99.46,99.53,99.61,99.48
Fiji,38.13,44.74,50.46,64.78,78.69,85.95,91.30,94.88,96.48,97.22,98.10,98.39,99.07,99.39,99.51,99.48
Finland,99.93,99.93,99.95,99.96,99.96,99.98,100.00,100.00,100.01,100.01,100.00,99.99,100.01,100.00,107.62,108.40
France,96.93,96.76,96.79,97.05,97.62,97.55,97.69,98.10,98.58,98.88,98.99,99.28,99.36,99.64,138.78,140.37
French Guiana,44.99,53.50,61.03,65.31,69.30,74.12,76.54,78.36,80.11,81.43,82.68,82.52,83.02,83.42,84.44,85.71
French Polynesia,41.82,52.53,61.21,69.97,80.14,86.89,89.99,92.97,95.42,96.90,98.27,98.81,99.30,99.52,99.62,99.61
Gabon,0.69,1.77,4.56,9.42,17.34,34.55,53.41,64.16,70.49,74.00,76.65,81.31,84.74,86.78,86.63,87.08
Gambia,0.02,0.13,0.78,4.42,6.14,6.10,6.14,10.15,18.63,21.92,29.18,40.73,48.66,60.06,64.70,70.74
Georgia,90.17,94.31,96.78,98.23,98.84,99.11,99.36,99.45,99.48,99.53,99.55,99.54,99.40,99.52,135.73,136.38
Germany,99.98,99.99,99.99,100.00,99.99,99.99,99.99,100.00,100.00,100.00,99.99,99.99,100.00,100.00,120.94,122.21
Ghana,10.09,13.29,16.01,23.39,30.96,45.03,47.10,47.89,47.75,50.36,55.02,62.46,68.78,72.57,77.31,81.43
Greece,56.20,66.69,68.83,85.50,93.44,96.71,97.84,98.26,98.51,98.52,98.41,98.42,98.22,98.39,131.64,132.72
Grenada,,,,,,,,,,,,,,,95.86,95.78
Guadeloupe,50.08,61.99,72.51,77.81,83.80,88.31,91.40,93.60,95.21,96.44,97.47,98.04,98.51,98.84,99.04,98.83
Guam,,,,,,,,,,,,,,,99.51,98.39
Guatemala,15.81,16.60,17.14,18.82,21.94,25.29,29.52,33.95,37.79,41.11,45.70,51.67,61.87,70.66,76.58,78.64
Guinea,0.48,0.67,1.15,1.98,3.64,6.07,8.35,8.88,8.66,8.63,10.12,15.96,22.20,31.23,36.47,44.12
Guinea-Bissau,0.14,0.27,0.51,0.97,1.79,3.18,5.49,8.90,13.26,17.28,21.87,29.66,36.18,41.21,47.83,50.74
Guyana,57.06,64.52,69.73,76.91,83.80,88.53,91.01,93.91,95.30,95.51,97.33,96.95,95.39,95.38,95.91,96.13
Haiti,7.09,7.88,9.03,10.63,12.80,15.78,20.33,26.28,34.29,41.36,53.91,58.89,55.41,59.10,64.62,69.47
Honduras,11.15,12.90,15.98,20.18,25.94,32.50,38.68,45.48,51.80,57.15,62.39,67.75,73.42,76.50,77.00,79.81
Hong Kong Special Administrative Region of China,19.12,28.06,41.90,55.29,66.22,75.59,84.87,92.09,95.49,97.16,98.15,99.14,99.48,99.79,145.22,145.83
Hungary,98.65,98.56,98.89,99.24,99.35,99.43,99.31,99.34,99.52,99.63,99.63,99.66,99.65,99.75,135.57,137.35
Iceland,100.00,99.99,99.99,99.96,99.98,99.98,99.98,99.97,99.96,99.95,100.00,100.00,99.95,99.94,108.76,109.67
India,8.32,10.50,13.92,16.10,20.16,25.95,31.15,34.92,38.96,44.16,50.80,60.65,67.58,77.07,83.78,88.14
Indonesia,21.12,25.82,31.43,41.53,51.20,62.53,68.92,75.89,83.41,89.79,92.74,93.99,95.40,95.85,103.48,105.21
Iran (Islamic Republic of),7.99,7.48,9.99,17.48,23.73,32.15,42.20,54.33,63.73,73.76,83.79,87.60,91.53,93.03,93.93,94.37
Iraq,4.51,5.79,7.16,14.14,21.01,24.37,35.51,46.71,58.19,62.14,60.19,60.63,57.49,60.82,65.70,69.07
Ireland,99.06,98.84,99.15,99.37,99.51,99.58,99.62,99.62,99.63,99.62,99.59,99.64,99.58,99.58,142.94,143.73
Israel,70.47,72.98,78.27,85.00,90.27,92.66,93.83,94.62,95.34,96.11,96.50,97.60,97.29,96.69,113.14,114.30
Italy,78.25,83.84,88.35,91.09,95.00,96.89,97.88,98.50,98.77,98.94,99.05,99.33,99.41,99.65,112.65,113.57
Jamaica,57.49,63.59,67.86,73.10,79.86,87.43,93.51,96.87,98.06,98.64,98.98,99.41,99.55,99.64,99.70,99.62
Japan,99.66,99.72,99.78,99.84,99.88,99.89,99.90,99.91,99.93,99.94,99.94,99.93,99.93,99.89,99.91,99.87
Jordan,7.17,11.04,17.28,65.28,71.81,75.12,78.03,79.56,79.23,80.19,80.82,82.01,85.53,88.42,110.89,113.78
Kazakhstan,82.59,85.35,90.37,94.12,97.76,99.07,99.50,99.65,99.64,99.63,99.62,99.65,99.55,99.55,99.57,99.52
Kenya,4.45,5.83,8.21,13.45,23.34,32.78,43.56,55.14,64.39,70.84,72.32,76.78,78.12,76.01,81.75,83.74
Kiribati,7.53,12.49,19.44,28.26,38.38,48.57,59.51,66.92,72.58,79.03,82.70,86.35,92.13,91.68,94.80,96.34
Kuwait,10.52,16.59,24.48,33.57,42.59,67.16,70.13,68.35,66.48,65.16,64.28,83.28,77.90,97.38,96.56,96.69
Kyrgyzstan,70.08,76.01,85.69,92.72,97.68,99.16,99.59,99.66,99.67,99.64,99.58,99.69,99.65,99.24,99.59,99.58
Lao People's Democratic Republic,5.28,7.85,11.47,16.24,22.11,27.84,37.47,46.19,55.39,57.76,60.12,66.34,72.24,77.38,80.81,83.46
Latin America and the Caribbean,35.47,38.54,43.05,48.59,55.73,62.84,69.68,74.98,79.05,82.63,85.60,88.51,91.29,92.59,93.97,94.77
Latvia,97.29,97.19,98.99,99.55,99.73,99.80,99.80,99.76,99.72,99.68,99.58,99.48,99.62,99.07,123.95,124.74
Lebanon,12.58,21.76,28.76,41.96,55.56,67.82,77.71,85.12,90.23,93.83,95.37,98.11,98.32,98.07,98.17,98.08
Lesotho,7.87,10.73,14.30,18.32,24.28,32.83,44.78,59.11,70.15,76.41,78.80,82.52,83.17,85.31,85.43,86.85
Liberia,2.85,3.63,4.89,5.62,7.70,11.96,16.22,20.96,24.68,27.42,33.76,36.68,40.59,50.91,56.85,62.38
Libyan Arab Jamahiriya,,,,,,,,,,,,,,,88.11,90.10
Lithuania,85.78,86.30,93.81,97.42,99.10,99.58,99.65,99.68,99.68,99.55,99.27,99.26,99.70,98.80,130.13,130.23
Luxembourg,99.93,99.94,99.95,99.96,99.96,99.97,99.97,99.98,99.98,99.99,99.98,99.99,100.00,99.99,125.07,126.25
Macao Special Administrative Region of China,18.19,28.98,41.51,54.15,65.57,85.19,88.67,91.89,94.50,96.54,97.79,98.18,98.65,98.65,98.72,98.00
Madagascar,7.52,8.60,11.12,13.86,17.36,21.58,26.89,35.96,40.41,36.77,39.67,33.30,39.87,48.51,53.22,57.45
Malawi,5.43,6.26,8.11,11.44,15.86,20.10,24.21,28.38,32.50,37.25,44.40,53.04,58.66,62.68,68.77,74.08
Malaysia,8.33,11.76,17.89,28.64,40.60,67.31,75.60,83.65,88.35,90.62,92.33,94.94,95.92,97.83,98.14,98.12
Maldives,0.33,0.82,1.94,4.32,8.84,18.46,24.03,35.12,60.42,76.55,89.85,95.52,97.18,97.75,118.33,119.05
Mali,1.06,1.40,1.72,2.34,3.42,5.23,6.61,8.16,8.33,8.28,11.45,13.29,19.56,26.34,33.16,40.44
Malta,79.00,84.42,92.82,98.33,99.77,99.92,99.98,100.00,100.00,99.99,100.00,99.99,100.00,100.01,99.99,99.78
Martinique,32.90,51.40,72.97,79.87,85.47,89.85,93.03,95.22,96.69,97.78,98.63,98.93,98.92,99.52,99.69,99.43
Mauritania,,,,,,,,,,,,,,,46.71,53.68
Mauritius,8.62,14.23,21.80,31.02,41.37,50.38,61.75,70.56,73.59,76.37,79.40,88.44,89.51,96.76,98.12,98.48
Mayotte,,,,,,,,,,,,,,,99.23,98.21
Melanesia,29.90,34.87,40.44,51.75,63.75,71.34,77.69,81.36,83.15,83.79,85.48,87.18,86.94,86.30,73.96,75.23
Mexico,17.89,24.94,33.21,42.32,51.63,59.60,69.35,76.67,83.52,88.05,89.78,92.41,95.03,96.71,111.15,112.90
Micronesia,6.53,13.71,25.99,40.75,55.61,66.65,75.72,80.19,83.15,87.33,88.80,90.66,92.78,93.70,96.92,97.18
Micronesia (Federated States of),5.31,15.11,33.03,54.17,73.87,84.28,89.40,91.58,92.15,93.06,93.22,94.24,93.53,95.86,96.26,96.59
Middle Africa,2.99,4.29,6.47,8.60,14.99,21.04,26.97,32.42,38.25,44.11,45.09,50.94,50.60,62.11,65.31,69.45
Mongolia,63.18,76.94,82.99,89.01,94.09,96.04,96.77,97.05,97.78,98.22,97.23,97.42,97.07,97.72,97.95,98.13
Montenegro,59.21,79.81,90.19,95.18,97.27,98.18,98.54,98.76,98.87,98.91,98.85,98.62,98.68,97.36,116.97,118.45
Morocco,0.19,0.64,2.80,5.99,12.26,17.97,21.99,25.68,32.01,37.10,38.95,49.90,53.16,67.41,81.19,83.17
Mozambique,2.53,2.61,2.67,2.93,2.79,3.83,6.48,9.45,11.39,13.99,17.55,22.46,29.29,36.96,39.03,42.40
Myanmar,20.39,20.86,24.87,31.76,37.43,42.50,47.98,51.07,56.04,59.57,60.18,66.50,71.38,77.04,80.44,82.78
Namibia,10.86,14.25,18.25,21.15,29.68,37.84,45.44,55.48,68.35,74.61,79.27,83.40,88.40,88.89,83.65,84.01
Nepal,1.17,1.64,2.13,3.06,4.41,6.58,9.64,13.69,20.14,28.96,39.70,53.24,64.86,75.04,82.20,86.64
Netherlands,92.27,95.15,96.64,97.96,98.52,98.37,98.46,98.11,98.24,98.16,98.44,98.35,99.23,99.64,115.57,117.29
New Caledonia,51.97,54.79,59.71,66.96,75.00,82.13,87.56,91.73,94.80,96.83,97.90,98.67,98.94,99.10,99.19,98.64
New Zealand,98.00,98.05,98.09,98.12,98.07,98.18,98.20,98.23,98.34,98.61,98.80,99.10,98.73,99.53,137.88,139.65
Nicaragua,11.85,15.24,19.56,23.04,28.56,36.27,43.38,50.05,55.09,58.44,63.25,66.76,70.72,75.07,78.67,81.80
Niger,0.01,0.03,0.09,0.53,0.98,1.42,1.87,3.20,5.60,7.41,7.60,10.33,11.06,16.48,26.41,33.52
Nigeria,5.29,7.15,9.43,12.53,16.13,21.45,29.10,37.55,45.07,50.61,54.77,58.25,61.27,64.45,67.85,69.61
Northern Africa,2.64,3.90,5.95,8.73,14.69,20.89,27.17,34.14,42.30,49.88,56.22,63.10,66.56,71.45,76.33,79.15
Northern America,94.83,94.37,95.09,96.30,97.14,97.55,97.92,98.16,98.34,98.46,98.65,99.23,99.35,99.71,99.72,99.64
Northern Europe,99.11,99.08,99.56,99.78,99.87,99.89,99.89,99.91,99.90,99.90,99.89,99.91,99.93,99.90,99.95,99.88
Norway,99.52,99.51,99.49,99.46,99.48,99.44,99.55,99.58,99.63,99.63,99.63,99.79,99.71,99.94,130.09,131.60
Occupied Palestinian Territory,5.92,8.43,12.86,24.37,44.62,62.26,70.51,79.16,84.95,89.45,93.58,96.02,97.72,98.68,128.72,129.83
Oceania,90.24,91.38,92.45,94.52,96.19,96.83,97.24,97.58,97.81,98.11,98.14,98.41,98.44,98.66,91.31,90.70
Oman,2.04,3.03,4.35,6.38,9.60,14.74,22.87,34.97,50.71,66.89,81.05,89.90,94.04,95.93,97.13,97.66
Pakistan,4.47,5.77,7.43,9.13,11.53,14.81,19.28,23.35,26.11,30.42,36.14,41.46,46.31,51.45,57.52,62.16
Panama,45.39,49.61,55.81,64.85,70.83,77.31,82.99,87.51,88.94,89.08,90.09,91.51,92.89,93.70,109.35,111.74
Papua New Guinea,,,,,,,,,,,,,,,71.43,73.00
Paraguay,25.39,28.58,33.32,39.16,44.97,51.38,58.09,63.89,69.24,73.66,78.16,82.09,84.55,86.78,88.65,90.15
Peru,34.83,38.54,39.55,44.11,52.67,62.03,68.40,70.21,74.12,79.72,83.92,87.93,91.89,94.57,115.33,116.89
Philippines,43.35,49.73,57.01,62.85,71.17,77.90,81.43,84.46,86.83,88.25,90.77,91.35,93.30,92.41,93.26,94.01
Poland,99.99,99.99,99.99,99.99,100.00,100.00,100.01,100.01,99.99,100.01,99.99,99.99,100.00,99.97,125.06,125.88
Polynesia,76.54,80.36,83.21,86.69,90.83,93.51,94.79,96.02,97.20,98.03,98.63,98.85,99.26,99.54,99.68,99.55
Portugal,9.81,10.99,13.36,19.58,28.30,39.27,54.82,68.72,79.44,87.88,93.17,94.96,96.72,97.34,122.77,123.88
Puerto Rico,65.00,64.18,73.01,80.47,87.85,92.23,94.14,96.10,96.76,97.45,97.95,98.68,99.11,99.36,117.08,116.80
Qatar,10.12,15.62,23.04,32.08,41.97,47.94,59.34,68.81,75.51,76.98,80.12,83.42,86.29,88.68,90.59,91.10
Republic of Korea,44.74,51.58,64.43,78.64,90.62,96.29,98.26,99.15,99.60,99.77,99.84,99.89,99.90,99.95,115.08,115.66
Republic of Moldova,69.37,84.31,91.85,96.21,98.62,99.32,99.49,99.49,99.46,99.63,99.46,99.43,99.77,99.87,99.91,99.80
Reunion,34.71,47.50,59.93,65.67,74.40,82.40,85.74,89.47,92.41,95.20,96.94,98.13,98.62,99.03,99.23,98.76
Romania,96.21,90.55,94.31,97.32,98.47,98.84,98.82,98.77,99.03,98.76,98.26,98.53,98.26,98.96,125.87,127.16
Russian Federation,98.92,98.47,99.06,99.39,99.69,99.77,99.75,99.73,99.71,99.70,99.66,99.64,99.62,99.57,118.24,119.60
Rwanda,0.30,0.50,0.83,1.45,2.23,2.85,3.15,5.88,11.95,19.56,18.66,24.40,26.14,35.26,37.78,43.52
Saint Lucia,55.33,65.34,70.36,79.31,85.26,91.02,94.39,96.10,97.05,97.80,98.26,97.79,98.37,96.36,115.50,117.17
Saint Vincent and the Grenadines,67.15,75.97,81.52,86.77,90.20,94.05,95.76,96.87,97.03,97.97,97.49,98.47,99.19,99.54,99.72,99.27
Samoa,92.37,93.91,95.17,96.12,96.86,97.44,97.97,98.40,98.63,98.93,98.74,98.70,99.24,99.55,99.73,99.48
Sao Tome and Principe,0.48,1.16,2.59,3.14,6.37,11.53,18.30,25.92,32.15,36.95,46.35,50.21,60.22,73.02,80.85,86.40
Saudi Arabia,1.18,2.48,5.01,9.65,19.09,28.93,41.91,56.77,66.78,70.80,78.78,85.03,86.23,92.86,107.07,109.49
Senegal,1.05,1.85,3.10,5.17,9.11,13.65,16.75,18.63,20.49,22.36,24.45,29.45,32.33,40.56,46.71,53.71
Serbia,49.24,56.77,79.57,90.78,96.01,97.22,97.63,98.28,98.67,98.78,98.63,98.48,98.50,98.03,99.48,99.33
Seychelles,,,,,,,,,,,,,,,99.23,98.91
Sierra Leone,0.92,1.41,2.14,3.21,4.81,9.25,10.53,13.70,16.09,17.70,17.56,20.28,36.96,55.92,70.65,78.59
Singapore,16.09,23.59,31.14,44.18,61.85,75.44,83.38,89.72,94.17,96.79,98.37,98.93,99.34,99.55,99.75,99.39
Slovakia,100.00,100.01,100.00,100.00,100.00,99.99,100.01,99.99,100.00,100.01,100.00,100.00,100.00,100.00,121.24,122.58
Slovenia,99.30,99.42,99.51,99.59,99.66,99.70,99.76,99.79,99.80,99.81,99.78,99.83,99.88,99.89,116.96,118.35
Solomon Islands,6.03,8.07,11.97,15.83,22.39,30.40,38.37,45.58,53.93,59.62,62.85,68.55,69.66,69.71,71.43,72.97
Somalia,0.67,1.00,1.47,2.11,2.89,3.78,5.82,8.75,13.29,14.54,16.13,11.48,15.33,19.88,25.60,31.90
South Africa,30.40,36.47,41.10,47.00,50.76,55.09,61.65,68.90,77.69,84.89,89.95,91.91,94.71,94.36,103.03,104.25
South America,40.49,42.67,46.19,51.08,58.08,65.40,71.87,76.45,79.93,83.60,87.16,90.26,93.15,94.07,95.42,96.21
South Sudan,6.22,5.41,5.62,5.68,6.10,7.00,8.70,10.61,12.21,13.77,17.73,20.93,28.01,34.22,41.26,48.12
South-Eastern Asia,25.52,31.19,38.24,47.37,57.42,66.49,71.98,76.98,81.80,84.95,87.61,88.67,90.87,92.43,93.86,94.61
Southern Africa,27.26,32.84,37.30,43.67,48.16,52.86,59.80,67.76,76.98,84.04,88.69,91.02,93.66,93.40,95.84,96.21
Southern Asia,8.06,9.99,13.11,15.45,19.42,24.95,29.96,34.09,38.29,43.49,50.39,59.71,66.10,74.11,80.16,84.12
Southern Europe,59.42,64.70,72.12,79.51,86.29,90.22,93.49,95.64,96.98,97.66,98.06,98.31,98.48,98.59,98.96,98.82
Spain,49.02,52.95,60.62,71.53,81.18,89.05,94.18,96.48,97.42,97.72,97.85,97.85,98.00,97.77,133.49,135.20
Sri Lanka,34.71,38.99,47.43,55.74,63.70,69.75,73.56,76.14,80.87,86.02,90.42,92.79,94.87,96.33,97.39,98.11
Sudan,1.64,2.25,2.96,3.90,5.60,8.76,13.99,20.37,26.17,30.82,33.35,36.10,35.39,38.56,41.60,45.39
Suriname,53.84,58.88,67.22,74.04,78.71,84.27,87.57,89.80,91.30,92.10,93.28,94.89,95.37,97.09,99.41,99.44
Swaziland,2.34,4.79,9.24,16.28,27.85,38.37,48.18,57.13,65.89,73.89,73.92,77.14,72.80,70.84,73.06,75.15
Sweden,99.95,99.94,99.96,99.97,99.98,100.00,100.00,100.00,99.99,100.01,100.00,99.99,99.99,100.00,133.65,135.40
Switzerland,94.02,95.12,96.15,97.01,97.48,97.67,97.75,97.96,98.21,98.45,98.60,98.86,98.99,99.18,115.29,117.25
Syrian Arab Republic,4.13,6.15,8.91,11.80,16.24,21.47,28.29,35.62,42.40,47.54,53.20,57.89,61.73,64.81,78.31,82.69
Taiwan Province of China,43.56,57.55,64.23,77.84,88.66,94.23,97.70,99.37,99.71,99.75,99.75,99.88,99.94,99.98,132.25,133.27
Tajikistan,76.19,85.66,91.84,95.40,97.50,98.73,99.08,99.19,99.25,99.27,99.20,98.76,99.02,96.99,99.97,99.96
Thailand,58.24,69.20,78.11,84.87,93.10,94.25,95.12,96.64,96.96,92.29,93.79,95.53,95.25,97.49,97.99,98.17
The former Yugoslav Republic of Macedonia,12.26,23.99,40.41,56.07,72.80,80.26,86.38,90.42,91.30,92.17,93.53,95.94,96.53,96.29,96.84,97.11
Timor-Leste,1.64,1.28,1.63,1.46,1.80,5.12,7.88,14.70,26.05,41.97,46.94,56.77,67.80,73.62,79.81,84.56
Togo,1.15,1.85,4.29,5.44,8.38,13.02,18.30,21.11,23.28,24.81,28.33,39.75,50.68,61.60,66.19,72.28
