country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Guyana,11.55,14.47,16.61,21.74,27.65,31.91,34.91,37.84,40.32,45.64,52.44,53.74,58.42,62.65,66.42,69.48
Haiti,2.17,2.53,2.88,3.29,4.21,5.08,6.53,8.52,10.95,13.23,21.18,16.43,16.93,20.52,24.97,29.26
Honduras,2.36,3.17,4.33,5.73,7.28,8.95,10.78,12.70,13.58,14.11,15.20,18.54,25.06,25.70,29.43,34.23
Hong Kong Special Administrative Region of China,8.45,12.84,20.63,24.25,27.02,31.09,41.39,55.12,62.92,66.64,74.02,81.43,89.00,90.73,134.40,135.14
Hungary,17.28,18.30,22.36,45.65,64.00,67.77,71.81,76.12,77.75,78.72,81.31,83.32,86.53,86.30,119.55,122.20
Iceland,30.15,32.88,37.25,41.97,48.14,52.09,54.57,55.85,55.76,57.03,57.80,58.90,63.77,60.83,71.68,75.65
India,5.81,7.57,10.49,12.53,15.37,19.05,21.33,23.17,25.76,28.75,32.58,39.05,43.72,51.64,60.20,67.32
Indonesia,2.17,3.60,6.02,8.62,11.63,14.67,17.29,23.69,31.14,33.90,36.78,44.11,51.24,58.05,73.15,80.10
Iran (Islamic Republic of),2.29,3.05,5.28,9.78,13.96,19.06,24.32,27.55,28.92,33.53,41.60,46.69,52.30,55.54,61.30,65.94
Iraq,2.00,2.99,5.92,10.68,12.67,14.65,19.93,23.35,23.07,20.82,19.82,22.79,21.41,28.45,34.85,40.67
Ireland,21.22,25.36,30.42,37.72,44.02,53.40,63.45,70.09,77.78,82.12,87.65,90.12,91.79,93.23,131.98,133.34
Israel,30.49,36.89,42.61,47.17,53.12,54.45,56.32,57.78,60.08,63.02,66.80,72.92,71.53,75.36,91.31,94.52
Italy,10.30,13.68,18.24,22.21,30.34,39.98,46.87,49.30,52.91,59.68,65.43,72.16,78.85,81.45,95.24,98.42
Jamaica,6.05,7.91,9.14,11.69,15.22,19.15,19.79,19.31,20.68,25.39,29.65,33.88,39.94,45.70,51.06,56.05
Japan,53.97,52.23,57.46,64.59,74.46,81.60,88.14,90.27,89.90,89.91,90.19,90.72,90.74,91.61,91.88,92.00
Jordan,7.34,11.80,17.46,36.96,43.27,45.75,48.68,51.23,49.58,47.16,46.35,50.18,54.71,58.79,82.54,86.80
Kazakhstan,33.20,39.77,51.54,63.05,78.49,84.58,88.04,89.88,90.16,89.75,91.13,91.95,92.65,94.05,95.09,95.00
Kenya,2.03,2.59,3.65,6.27,9.90,13.60,18.42,22.47,25.11,24.90,26.37,32.44,28.83,30.62,39.96,44.45
Kiribati,4.20,5.34,6.78,8.70,10.90,13.39,16.31,18.07,22.78,29.79,37.83,47.06,57.53,61.71,68.33,72.83
Kuwait,8.13,10.34,13.73,16.92,19.45,31.00,29.27,25.74,23.09,22.81,23.06,32.12,27.13,41.47,44.09,48.63
Kyrgyzstan,27.15,32.93,45.73,60.76,75.17,80.09,82.19,82.69,83.70,84.41,86.48,89.02,88.64,90.61,92.69,93.67
Lao People's Democratic Republic,1.12,1.76,2.68,3.87,5.51,7.44,10.58,12.08,13.45,11.96,12.40,16.64,21.17,26.22,33.02,40.80
Latin America and the Caribbean,7.34,9.25,11.84,15.49,20.08,24.77,29.17,32.85,35.54,38.56,42.69,47.49,52.14,56.65,60.73,64.56
Latvia,37.92,42.00,56.13,63.67,75.93,83.28,88.65,90.69,90.20,84.69,78.67,79.61,81.32,81.11,101.69,104.43
Lebanon,2.86,4.98,6.74,10.19,14.61,19.15,23.90,28.64,33.08,38.09,45.77,55.16,60.78,66.96,72.13,75.80
Lesotho,2.30,3.04,3.77,4.44,5.31,6.17,6.75,8.71,10.85,12.02,14.80,18.12,27.57,24.29,28.99,33.86
