country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
Estonia,0.00,0.00,0.00,0.01,0.03,0.08,0.21,0.52,1.22,2.55,4.99,9.14,15.62,24.80,36.43,49.80,63.77,78.80,87.53,92.90,96.43,97.88,98.70,99.08,99.09,98.50,97.31,97.55,96.95,97.97
Ethiopia,0.03,0.04,0.05,0.06,0.08,0.10,0.13,0.17,0.21,0.27,0.33,0.40,0.50,0.61,0.74,0.91,0.99,1.34,1.62,2.08,3.08,4.49,5.96,7.21,8.49,9.85,11.26,14.49,14.32,15.79
Europe,14.19,15.90,23.03,26.98,29.99,33.81,35.96,36.59,37.12,37.99,39.93,41.53,42.22,43.79,50.14,55.12,61.85,62.23,73.38,81.29,87.23,91.50,93.78,94.83,95.38,95.89,96.26,96.95,96.66,97.54
Fiji,0.02,0.03,0.04,0.08,0.12,0.19,0.30,0.42,0.60,0.90,1.37,2.04,3.04,4.45,6.40,9.07,12.65,17.02,22.60,25.44,30.66,42.96,55.98,63.71,68.11,71.13,75.47,81.60,83.51,85.45
Finland,0.16,0.23,0.32,0.46,0.66,0.94,1.34,1.91,2.72,3.84,5.39,7.48,10.24,13.73,18.02,23.19,29.49,37.48,46.61,58.96,67.11,76.37,93.40,98.63,99.65,99.73,99.65,99.51,99.88,98.96
France,1.17,1.50,1.90,2.36,2.84,3.36,3.97,4.69,5.57,6.61,7.86,9.54,12.04,15.86,33.12,32.34,34.93,42.28,51.68,61.62,70.03,75.45,81.19,85.59,88.52,90.62,92.42,93.19,93.97,94.47
French Guiana,0.97,1.36,1.87,2.52,3.32,4.25,5.35,6.61,8.14,9.94,12.01,14.32,16.92,19.95,23.63,28.13,33.63,39.33,44.76,48.13,52.16,55.75,57.63,60.41,61.07,58.67,61.99,60.58,62.47,69.72
French Polynesia,0.03,0.06,0.09,0.16,0.27,0.43,0.72,1.15,1.81,2.76,4.07,5.80,8.04,10.89,14.63,19.31,21.74,29.07,35.68,43.92,53.46,58.62,62.61,67.21,72.58,78.95,85.01,89.10,93.05,94.60
Gabon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.06,0.23,0.86,2.75,7.07,13.95,28.17,36.98,44.03,47.92,49.01,49.85,51.39,51.30,51.07,48.22
Gambia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.37,2.13,8.82,12.50,17.00,21.97,27.10,31.87,35.75,40.66,46.16,54.54,52.83
Georgia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.17,0.75,2.76,8.22,19.42,36.41,55.53,72.18,84.11,91.07,95.34,97.85,98.48,98.65,98.81,98.80,98.79,98.48,98.50,98.29,98.52
Germany,20.63,31.25,43.35,55.13,65.24,73.23,79.29,83.82,87.15,89.51,91.18,92.39,93.31,93.97,94.65,95.27,95.81,96.00,96.76,96.80,96.78,97.35,96.98,96.90,96.83,96.52,96.69,97.56,97.23,98.67
Ghana,0.33,0.49,0.71,1.02,1.40,1.93,2.63,3.51,4.67,6.13,7.96,10.21,12.94,16.19,19.98,24.33,29.21,34.67,39.19,47.18,53.65,61.06,59.75,59.14,59.52,61.21,64.29,65.01,64.52,61.88
