country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
El Salvador,0.01,0.01,0.01,0.02,0.04,0.06,0.10,0.15,0.24,0.38,0.57,0.85,1.28,1.97,3.82,4.06,5.45,7.34,9.30,11.81,15.00,19.22,25.69,32.63,38.62,43.46,49.63,54.46,59.75,65.38
Equatorial Guinea,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.06,0.21,0.62,1.56,4.15,5.64,7.46,9.08,11.04,13.32,15.93,15.45,15.80,22.10,26.96
Estonia,0.00,0.00,0.00,0.00,0.01,0.04,0.10,0.28,0.68,1.56,3.35,6.66,12.30,20.98,33.03,47.97,64.23,78.03,89.53,95.42,98.15,98.99,99.41,99.54,99.54,99.35,99.06,98.97,99.05,98.70
Ethiopia,0.03,0.04,0.04,0.05,0.06,0.06,0.07,0.08,0.09,0.10,0.11,0.12,0.13,0.13,0.15,0.17,0.15,0.20,0.25,0.38,0.64,1.03,1.72,2.59,3.57,4.80,6.66,8.87,11.15,14.55
Europe,12.79,11.27,17.52,20.41,22.59,23.59,25.61,26.63,27.96,30.01,31.88,32.54,34.65,36.33,42.36,49.22,57.08,56.03,68.99,77.13,84.11,89.53,92.73,94.63,95.57,96.31,96.94,97.62,97.56,98.16
Fiji,0.00,0.02,0.02,0.05,0.07,0.12,0.18,0.27,0.43,0.64,1.01,1.55,2.30,3.35,4.80,6.77,9.34,12.48,15.00,21.34,28.76,38.96,54.63,66.66,71.61,75.96,80.90,86.96,89.43,90.93
Finland,0.08,0.12,0.17,0.26,0.39,0.58,0.86,1.27,1.89,2.80,4.11,5.97,8.57,12.11,16.87,23.10,31.02,40.41,51.37,62.46,72.07,81.25,95.70,99.43,99.78,99.83,99.88,99.99,99.90,100.00
France,0.35,0.50,0.73,1.01,1.37,1.85,2.44,3.19,4.11,5.23,6.62,8.43,10.98,14.92,33.58,32.22,32.60,36.74,44.13,54.77,64.18,69.95,78.03,84.70,88.63,90.96,93.01,94.23,95.52,96.07
French Guiana,0.01,0.02,0.03,0.06,0.11,0.20,0.32,0.54,0.89,1.43,2.27,3.48,5.26,7.80,11.44,16.39,22.64,29.47,36.27,40.67,44.82,50.58,55.20,57.52,58.44,57.21,58.50,57.91,57.94,60.28
French Polynesia,0.00,0.00,0.00,0.01,0.03,0.05,0.09,0.18,0.33,0.62,1.08,1.81,3.02,4.92,7.85,11.99,14.06,22.08,27.40,36.55,51.37,61.07,67.84,74.61,82.17,86.97,91.79,95.47,97.00,97.88
Gabon,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.16,0.40,1.10,2.28,3.92,11.83,25.61,26.62,26.27,31.32,36.47,40.15,47.00,45.99
Gambia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.08,0.53,3.31,4.61,4.59,4.57,6.81,11.92,15.13,20.71,30.25,39.02,48.11
Georgia,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.13,0.50,1.70,4.91,11.85,23.67,39.65,56.93,71.97,82.73,90.10,94.14,96.66,97.73,98.33,98.65,98.74,98.86,98.66,98.64,98.41,98.60
