country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Poland,1.75,2.70,4.27,5.93,7.19,7.60,9.39,10.75,12.27,15.30,19.83,21.17,33.00,25.51,50.16,52.01
Polynesia,1.38,2.15,3.07,4.80,7.00,8.20,9.13,9.86,10.86,13.51,16.11,20.66,21.27,24.00,24.56,26.30
Portugal,1.07,1.36,1.90,2.85,3.87,5.58,6.31,7.54,9.51,13.70,17.35,19.41,27.58,23.81,50.16,52.48
Puerto Rico,4.01,4.82,5.31,6.80,9.58,12.67,15.71,17.60,18.83,19.52,19.07,20.27,21.31,23.88,41.35,41.61
Qatar,1.03,1.95,3.36,5.27,7.62,9.35,12.75,16.21,19.08,18.64,16.03,18.00,19.01,22.90,24.65,26.27
Republic of Korea,0.84,0.80,1.33,2.29,3.60,5.01,7.39,12.13,17.52,23.69,31.46,34.19,35.69,40.19,54.98,56.47
Republic of Moldova,2.73,3.29,5.93,8.25,10.91,9.74,10.23,10.44,10.53,11.33,22.55,12.34,13.67,15.97,15.83,17.26
Reunion,1.56,2.53,3.63,4.00,5.19,5.93,6.07,6.75,8.33,11.71,13.25,24.38,15.32,17.16,17.82,18.46
Romania,2.20,2.60,3.80,5.61,7.95,8.31,8.41,10.18,12.42,15.13,19.42,21.36,36.60,25.89,53.31,55.86
Russian Federation,4.58,3.24,6.46,9.20,10.80,11.37,12.74,14.72,16.63,18.48,21.72,22.84,24.07,26.72,44.62,47.41
Rwanda,0.02,0.03,0.08,0.09,0.10,0.25,0.31,0.57,0.95,1.17,1.01,1.61,6.14,2.54,2.98,3.47
Saint Lucia,1.15,2.04,2.55,5.13,7.21,9.25,10.88,10.90,12.35,16.23,19.12,21.43,22.15,27.14,45.72,49.21
Saint Vincent and the Grenadines,2.62,4.11,5.61,8.04,10.76,11.74,12.49,12.01,13.10,15.68,16.41,18.59,21.04,24.52,26.04,27.30
Samoa,1.67,2.22,2.75,4.25,5.42,5.64,6.10,6.28,6.40,8.82,11.03,11.73,13.97,15.81,17.16,17.78
Sao Tome and Principe,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
Saudi Arabia,0.04,0.10,0.24,0.52,1.27,2.18,2.78,5.00,6.53,5.83,7.03,8.63,9.58,11.94,25.33,28.10
Senegal,0.02,0.05,0.09,0.18,0.26,0.38,0.40,0.43,0.62,0.67,0.85,1.28,4.13,2.51,3.20,4.02
Serbia,1.35,1.67,2.57,3.21,4.48,4.67,5.35,6.16,6.49,7.45,9.03,9.97,17.19,13.04,12.89,14.47
Seychelles,,,,,,,,,,,,,,,17.82,18.37
Sierra Leone,0.02,0.04,0.06,0.10,0.17,0.39,0.45,0.59,0.74,0.86,0.89,1.09,1.64,4.89,2.30,2.58
Singapore,1.60,3.08,5.58,8.49,11.35,15.40,21.73,30.20,43.63,57.64,66.79,69.83,72.69,73.55,73.87,73.27
