country,1870,1875,1880,1885,1890,1895,1900,1905,1910,1915,1920,1925,1930,1935,1940,1945,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015
China,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.13,0.31,0.75,1.70,3.69,7.44,13.76,22.96,34.37,47.11,60.63,70.05,78.95,82.92,86.35,90.60,94.25,94.70,95.29,95.78,96.74,98.11,98.06
Colombia,3.29,4.08,4.99,6.08,7.35,8.79,10.45,12.32,14.40,16.71,19.21,21.91,24.78,27.78,30.98,34.41,38.03,36.66,41.63,48.22,55.52,62.88,69.32,73.80,76.07,78.87,81.99,86.39,87.28,89.17
Comoros,0.01,0.01,0.01,0.02,0.03,0.04,0.06,0.09,0.14,0.20,0.28,0.41,0.60,0.87,1.26,1.89,2.90,4.61,8.82,10.46,14.94,24.28,38.78,46.70,50.58,55.21,60.52,65.95,67.54,74.71
Congo,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.05,0.11,0.27,0.63,1.43,3.11,6.31,11.86,20.10,31.82,41.48,55.34,72.03,83.22,86.64,87.20,86.78,85.49,84.43,82.62,82.22
Costa Rica,1.50,1.96,2.55,3.29,4.17,5.22,6.47,7.92,9.61,11.63,13.99,16.77,19.88,23.39,27.49,32.10,37.54,42.07,49.67,58.79,68.57,77.13,82.87,85.51,85.50,84.63,85.46,88.64,90.88,92.97
Cote d'Ivoire,0.00,0.00,0.00,0.00,0.01,0.02,0.02,0.05,0.08,0.13,0.21,0.34,0.57,0.93,1.57,2.60,4.28,7.01,11.25,16.72,26.01,32.30,35.58,40.47,44.59,46.59,43.87,48.08,50.37,54.90
Croatia,28.69,34.07,39.86,45.79,51.63,57.24,62.57,67.60,72.26,76.49,80.19,83.37,86.00,88.20,89.09,92.36,92.26,92.62,96.28,98.26,99.05,99.16,99.17,99.35,99.49,99.52,99.50,99.51,99.49,99.53
Cuba,7.79,8.91,10.12,11.36,12.57,13.78,15.01,16.37,17.96,19.98,22.75,26.23,30.54,35.87,42.36,47.50,57.30,66.12,74.92,83.15,88.30,91.65,94.24,96.17,96.72,97.08,97.57,98.12,98.61,98.84
Curaçao,1.59,2.58,4.06,6.19,9.08,12.79,17.34,22.68,28.69,35.15,41.83,48.50,54.89,60.96,66.63,71.87,75.64,80.73,83.39,87.83,90.75,93.33,94.61,95.52,97.13,98.15,98.75,98.62,99.47,98.11
Cyprus,9.65,11.74,14.18,17.03,20.27,23.88,27.83,32.17,36.81,41.75,46.81,51.93,56.99,61.96,67.09,72.03,76.42,82.09,88.16,93.07,96.38,98.10,98.80,99.05,99.15,99.23,99.31,99.47,99.54,99.65
Czech Republic,97.58,97.84,98.07,98.22,98.33,98.41,98.49,98.57,98.64,98.72,98.80,98.87,98.96,99.03,99.10,99.21,99.35,99.49,99.54,99.59,99.59,99.44,99.45,99.44,99.45,99.49,99.41,99.48,99.42,99.61
Democratic People's Republic of Korea,0.00,0.00,0.00,0.01,0.02,0.04,0.12,0.33,0.93,2.54,6.70,16.34,34.28,57.57,77.52,89.74,91.99,97.83,99.03,99.81,99.97,99.98,99.99,99.98,99.98,99.99,99.99,99.97,99.98,99.98
Democratic Republic of the Congo,0.09,0.13,0.20,0.32,0.50,0.76,1.15,1.72,2.52,3.66,5.23,7.33,10.07,13.51,17.74,22.75,28.57,35.02,43.45,47.89,57.36,65.78,72.73,75.98,79.51,78.52,76.92,80.00,82.51,83.17
Denmark,99.94,99.95,99.94,99.95,99.95,99.94,99.94,99.95,99.94,99.95,99.94,99.94,99.94,99.94,99.94,99.94,99.93,99.95,99.95,99.95,99.94,99.91,99.88,99.89,99.89,99.91,99.94,99.98,99.99,100.00
Dominican Republic,2.30,2.77,3.32,3.93,4.62,5.37,6.18,7.05,8.01,8.91,9.69,10.49,11.43,12.70,13.74,16.79,18.57,22.51,27.46,33.98,41.63,49.92,57.36,63.78,66.48,67.73,71.32,75.14,80.42,81.48
Eastern Africa,0.08,0.30,0.47,0.72,0.90,1.23,1.50,1.71,2.03,2.33,2.90,3.38,4.16,5.28,6.79,9.05,11.10,13.81,17.29,22.06,27.63,32.40,37.95,43.75,47.89,50.02,51.78,54.09,54.93,54.69
Eastern Asia,5.00,5.80,6.94,8.13,9.47,10.67,11.95,11.08,11.43,12.11,13.88,15.77,19.27,25.27,33.10,43.65,55.81,67.01,75.21,82.94,86.02,88.22,91.90,95.02,95.35,95.89,96.39,97.15,98.27,98.27
Eastern Europe,13.19,18.70,28.01,36.13,43.14,48.42,54.93,61.76,67.26,71.04,75.25,77.51,79.93,82.78,88.71,93.87,97.02,98.22,98.93,99.35,99.62,99.67,99.66,99.65,99.61,99.60,99.52,99.51,99.49,99.56
Ecuador,5.43,6.47,7.65,9.00,10.51,12.14,13.90,15.82,17.84,19.98,22.19,24.53,26.92,29.06,29.81,30.57,32.85,36.13,41.32,48.82,56.77,64.95,71.73,77.09,80.45,82.36,83.71,85.69,87.65,89.07
Egypt,0.30,0.42,0.56,0.75,1.00,1.34,1.76,2.30,2.99,3.87,4.92,6.20,7.68,9.39,11.32,13.52,16.26,19.72,23.92,28.84,34.73,41.03,48.00,54.66,60.92,66.18,70.76,74.72,78.81,82.32
El Salvador,2.69,3.27,3.93,4.63,5.36,6.09,6.82,7.53,8.24,8.91,9.52,10.01,10.46,10.99,11.19,13.01,15.87,19.74,25.37,31.84,38.91,46.59,52.73,57.38,60.76,64.06,68.40,72.47,75.70,78.97
Equatorial Guinea,0.00,0.00,0.01,0.01,0.03,0.06,0.12,0.26,0.56,1.16,2.32,4.45,8.11,13.83,21.93,31.99,42.92,53.27,62.06,62.35,74.69,78.79,82.66,81.52,83.56,82.90,81.75,64.24,78.04,79.24
Estonia,2.06,3.44,5.69,9.28,14.78,22.71,33.23,45.73,58.81,70.69,80.29,87.37,92.19,95.22,96.99,98.03,98.68,99.06,99.39,99.62,99.73,99.78,99.79,99.77,99.73,99.66,99.58,99.65,99.59,99.75
Ethiopia,0.09,0.11,0.14,0.17,0.22,0.27,0.34,0.43,0.54,0.68,0.85,1.05,1.31,1.62,2.01,2.51,2.81,3.76,4.71,5.83,7.51,9.82,12.71,16.15,19.62,22.73,25.58,32.31,33.25,34.18
Europe,46.37,43.30,52.14,57.24,60.98,65.79,69.01,71.04,73.26,75.37,78.32,80.13,81.66,83.34,86.53,89.46,91.94,93.23,95.42,96.39,97.52,98.18,98.56,98.80,98.99,99.11,99.18,99.30,99.40,99.46
Fiji,0.15,0.23,0.36,0.56,0.85,1.28,1.92,2.80,4.05,5.84,8.35,11.71,16.17,21.83,28.76,36.85,45.85,56.75,62.62,72.75,81.71,85.71,90.77,94.15,95.80,96.21,97.28,97.58,98.51,98.99
