country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Northern Europe,5.53,6.94,8.38,9.99,11.92,13.91,14.98,15.76,16.73,19.41,21.31,22.74,33.43,25.54,26.08,27.75
Norway,4.27,5.89,7.80,9.84,11.16,13.20,14.18,15.28,17.31,19.39,20.62,21.21,46.36,22.91,47.26,50.63
Occupied Palestinian Territory,1.00,2.28,4.04,6.13,8.10,8.67,10.13,10.82,10.80,11.00,13.06,17.89,20.08,32.86,47.66,50.38
Oceania,4.14,6.00,7.93,10.40,12.87,16.13,17.37,17.75,18.97,21.34,22.83,24.48,33.28,28.29,22.10,22.92
Oman,0.29,0.47,0.95,1.67,2.52,3.06,3.78,4.62,5.30,7.17,16.82,9.00,10.50,12.13,12.81,14.70
Pakistan,1.30,1.63,2.03,2.60,3.05,3.42,3.92,4.59,5.18,6.04,6.36,7.71,8.27,12.31,10.36,12.06
Panama,1.59,2.28,3.12,4.35,5.68,7.78,9.31,9.66,10.08,11.05,11.63,12.99,14.14,16.45,34.89,37.73
Papua New Guinea,,,,,,,,,,,,,,,6.69,7.67
Paraguay,2.26,2.65,3.18,3.92,4.55,5.29,6.12,6.98,7.78,9.48,15.47,13.07,15.21,17.86,19.56,21.39
Peru,2.99,3.98,4.77,6.41,8.09,9.54,10.78,11.71,12.40,13.01,13.80,14.45,15.61,26.62,35.45,36.86
Philippines,6.41,5.89,6.34,8.04,10.10,10.61,11.84,13.05,13.29,14.55,16.20,17.98,19.91,23.86,24.08,26.36
Poland,1.70,2.65,3.62,4.88,5.68,5.74,6.71,7.51,8.66,11.12,14.57,15.72,25.10,19.20,37.85,39.42
Polynesia,2.12,3.10,4.50,6.91,8.99,9.51,10.17,10.36,10.98,12.91,14.48,17.99,18.55,20.49,21.38,22.61
Portugal,1.15,1.37,1.82,2.63,3.47,4.85,5.18,5.90,7.39,10.63,13.32,15.13,21.85,18.60,39.61,41.64
Puerto Rico,3.85,5.06,5.09,6.54,8.55,10.85,12.79,14.04,14.85,15.66,15.75,16.98,18.18,20.32,40.49,40.40
Qatar,2.48,4.08,6.18,8.75,10.94,15.18,15.31,14.84,14.51,12.87,11.17,11.75,10.03,10.91,12.51,17.02
Republic of Korea,1.54,1.65,2.13,2.68,3.55,4.68,6.64,9.94,13.22,16.98,21.47,23.25,23.96,26.75,54.47,55.88
Republic of Moldova,3.14,4.16,6.37,8.02,10.49,8.98,8.93,8.88,8.77,9.35,19.53,10.24,11.22,12.72,12.74,13.88
Reunion,1.76,2.68,3.66,4.06,4.98,5.48,5.32,5.65,6.82,9.39,10.46,20.89,12.00,13.35,13.71,14.41
Romania,2.51,3.06,4.24,5.86,8.11,8.17,7.57,8.38,9.50,11.35,14.65,16.20,28.68,19.57,40.34,42.21
Russian Federation,4.58,3.61,6.22,8.34,9.56,9.87,10.78,12.34,13.65,15.21,17.79,18.79,19.87,21.91,43.87,45.62
Rwanda,0.04,0.07,0.19,0.24,0.28,0.44,0.61,0.85,1.33,1.73,1.60,2.21,5.87,3.01,3.76,4.45
Saint Lucia,1.74,2.59,3.08,5.28,7.54,9.31,10.07,9.57,10.42,12.93,15.08,17.09,17.90,21.48,43.96,46.88
