country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Hong Kong Special Administrative Region of China,4.29,7.15,14.58,19.85,22.91,27.11,38.83,53.67,62.63,65.74,73.20,81.65,89.44,91.86,139.42,140.02
Hungary,14.70,16.16,22.94,42.15,58.37,62.89,68.96,75.19,77.89,80.05,83.30,85.45,88.40,88.39,125.86,128.68
Iceland,16.92,19.13,23.12,29.73,37.96,45.42,51.02,55.27,57.00,60.12,61.64,63.91,69.90,67.78,79.82,83.50
India,1.61,2.49,4.19,5.23,7.16,10.22,12.98,14.92,17.40,20.62,25.26,33.19,39.49,49.33,58.76,66.40
Indonesia,1.14,1.86,3.15,5.06,7.62,10.63,12.73,18.30,26.01,30.33,34.12,42.44,50.89,58.41,72.08,79.10
Iran (Islamic Republic of),1.55,1.56,2.34,5.40,8.25,12.13,17.09,21.37,23.30,28.87,40.54,47.09,55.27,58.32,63.84,68.23
Iraq,0.72,1.14,2.06,5.86,8.47,8.29,14.68,19.84,20.21,18.08,16.67,21.15,17.63,30.41,38.54,45.42
Ireland,23.76,28.37,32.96,40.17,45.43,56.28,67.68,75.05,80.54,85.74,89.73,91.83,93.62,94.34,138.55,139.48
Israel,30.41,37.14,44.04,48.71,55.30,57.09,59.91,61.97,65.09,68.75,73.48,80.99,80.56,82.88,101.46,104.11
Italy,9.30,12.19,16.26,19.11,27.01,38.20,47.34,52.04,56.72,64.08,70.46,76.96,82.79,85.46,101.83,104.58
Jamaica,6.19,8.22,9.52,12.53,16.50,21.52,22.68,22.73,24.85,31.23,37.68,43.09,50.66,57.49,63.33,68.04
Japan,51.73,49.29,54.18,62.54,73.78,81.77,88.61,90.78,90.54,90.51,90.69,91.10,90.95,91.77,91.97,92.02
Jordan,3.14,5.03,8.24,37.08,43.31,45.78,48.69,51.24,49.58,47.16,46.35,50.18,54.72,58.79,82.82,87.41
Kazakhstan,30.96,38.04,49.89,61.39,78.45,85.63,89.56,91.45,91.85,91.44,92.66,93.26,93.93,95.17,96.07,95.88
Kenya,0.81,1.21,1.61,2.78,4.57,7.55,12.22,16.82,20.05,21.24,23.41,29.97,27.69,30.24,39.67,44.48
