country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Fiji,42.12,50.89,56.54,68.75,80.19,85.84,91.03,94.51,96.13,96.70,97.68,97.98,98.78,99.19,99.36,99.34
Finland,99.92,99.93,99.94,99.96,99.97,99.97,100.00,100.00,100.01,100.00,100.00,100.00,100.00,100.01,104.37,104.98
France,96.78,96.46,96.32,96.59,97.46,97.82,98.04,98.30,98.66,98.90,98.99,99.24,99.33,99.56,134.04,135.37
French Guiana,53.15,59.75,65.38,69.68,72.81,75.62,77.74,79.21,80.42,81.49,83.75,83.29,84.21,87.27,88.92,89.88
French Polynesia,45.11,55.37,62.98,71.22,80.99,86.02,88.62,91.23,93.51,95.70,97.54,98.20,99.02,99.32,99.47,99.47
Gabon,3.59,8.00,14.98,24.43,37.24,52.24,65.13,71.79,75.60,77.55,79.02,82.41,84.95,84.98,83.88,84.27
Gambia,0.04,0.31,1.74,7.44,10.54,13.07,15.83,20.69,28.06,32.69,39.68,48.93,55.98,62.85,65.38,70.62
Georgia,91.06,95.00,97.32,98.59,99.09,99.30,99.44,99.47,99.49,99.53,99.50,99.50,99.37,99.49,129.88,130.44
Germany,99.99,99.99,100.00,100.00,99.99,99.99,99.99,100.00,99.99,99.99,100.00,100.00,99.99,99.99,116.87,118.10
Ghana,22.55,26.40,29.92,37.73,44.92,55.99,56.46,56.38,56.91,59.53,63.29,68.00,73.46,72.87,77.82,81.32
Greece,65.72,74.17,76.92,89.26,94.66,97.03,97.86,98.16,98.26,98.13,97.87,98.03,97.76,98.30,126.08,127.07
Grenada,,,,,,,,,,,,,,,96.72,96.47
Guadeloupe,54.68,64.96,73.96,78.53,83.90,87.92,90.75,93.05,94.75,95.89,96.93,97.74,98.07,98.22,98.42,98.24
Guam,,,,,,,,,,,,,,,99.36,98.17
Guatemala,15.36,16.76,18.13,20.65,24.53,29.21,34.09,39.02,43.65,47.36,51.80,57.42,66.47,74.17,78.66,79.68
Guinea,1.56,2.09,3.41,5.30,8.95,13.98,15.49,15.81,16.48,16.94,19.83,26.59,33.89,42.68,43.90,50.56
Guinea-Bissau,0.80,1.36,2.26,3.81,6.57,9.69,13.91,19.90,23.81,28.75,34.95,41.56,49.27,51.12,46.04,48.83
Guyana,60.99,67.33,71.98,78.17,83.89,87.72,89.96,92.23,93.46,94.61,95.89,96.62,96.38,96.64,97.13,97.31
Haiti,9.11,10.47,12.25,13.88,16.56,19.81,24.62,31.56,40.05,45.48,57.89,60.13,53.88,57.36,62.97,67.74
Honduras,10.73,12.96,16.50,21.02,27.09,33.70,39.85,46.15,51.81,56.34,60.66,65.64,70.97,73.89,74.34,77.18
Hong Kong Special Administrative Region of China,31.85,41.33,54.18,64.75,73.04,80.15,87.50,93.64,96.47,97.78,98.50,99.25,99.57,99.79,141.37,141.91
