country,1950,1955,1960,1965,1970,1975,1980,1985,1990,1995,2000,2005,2010,2015,2020,2025
Greece,75.68,82.02,85.25,93.33,96.16,97.44,97.89,98.05,98.04,97.77,97.37,97.68,97.35,98.22,121.04,121.94
Grenada,,,,,,,,,,,,,,,97.55,97.14
Guadeloupe,59.44,68.04,75.54,79.33,84.00,87.50,90.10,92.50,94.27,95.33,96.35,97.42,97.64,97.61,97.79,97.68
Guam,,,,,,,,,,,,,,,99.20,97.96
Guatemala,14.91,16.91,19.01,22.33,27.03,33.05,38.66,44.37,49.79,53.84,57.90,63.06,70.95,77.63,80.70,80.71
Guinea,2.66,3.57,5.76,8.68,14.36,22.07,22.93,22.92,24.29,25.14,29.61,37.46,45.65,53.97,51.16,56.86
Guinea-Bissau,1.45,2.56,4.39,7.27,11.53,16.67,24.87,33.28,35.81,41.09,48.40,53.27,62.26,61.03,44.25,46.93
Guyana,65.09,70.25,74.32,79.52,84.00,86.87,88.86,90.50,91.55,93.68,94.40,96.29,97.40,97.92,98.33,98.45
Haiti,11.28,13.12,15.47,17.11,20.31,23.95,28.98,36.86,45.81,49.57,61.81,61.36,52.34,55.64,61.32,66.00
Honduras,10.31,13.01,17.01,21.86,28.23,34.87,41.01,46.83,51.84,55.54,58.98,63.59,68.60,71.36,71.76,74.65
Hong Kong Special Administrative Region of China,42.67,52.56,64.40,72.32,79.18,84.27,89.83,95.11,97.48,98.44,98.88,99.37,99.67,99.80,137.68,138.05
Hungary,98.95,99.07,99.24,99.33,99.44,99.47,99.43,99.45,99.51,99.54,99.53,99.56,99.54,99.65,126.90,127.91
Iceland,100.00,99.99,100.00,100.00,99.99,99.99,99.99,99.99,100.00,99.98,99.99,99.98,99.97,99.97,106.85,107.59
India,28.70,32.68,37.91,42.25,47.51,52.66,55.67,58.32,61.94,66.09,70.57,75.42,79.26,82.81,87.57,91.18
Indonesia,37.80,42.86,51.10,61.38,68.48,75.53,79.45,84.22,89.49,92.69,93.85,94.10,94.90,94.50,105.45,107.46
Iran (Islamic Republic of),16.80,19.80,28.32,41.62,51.75,62.00,68.88,76.96,82.40,86.61,90.60,92.05,93.68,94.47,95.37,95.85
Iraq,18.62,21.02,32.62,45.11,56.04,65.09,72.00,75.96,77.54,77.06,75.33,74.00,71.20,69.53,72.23,74.55
Ireland,98.84,99.14,99.16,99.39,99.59,99.40,99.58,99.69,99.65,99.39,99.39,99.43,99.45,99.52,131.66,132.93
Israel,75.64,79.82,85.21,89.83,92.34,93.42,94.04,94.44,94.82,95.09,95.45,94.78,93.43,96.38,106.93,108.21
Italy,85.37,89.43,92.48,95.34,97.21,97.88,98.13,98.47,98.66,98.82,98.94,99.25,99.39,99.57,107.05,107.54
Jamaica,61.30,66.63,70.86,75.31,80.13,85.69,90.83,94.20,95.61,96.80,97.71,98.56,98.87,99.05,99.17,99.15
Japan,99.82,99.82,99.84,99.87,99.90,99.89,99.89,99.91,99.93,99.94,99.93,99.92,99.93,99.88,99.91,99.87
Jordan,24.47,36.13,48.88,64.96,71.76,75.09,78.02,79.55,79.23,80.19,80.82,82.01,85.53,88.42,110.44,112.77
Kazakhstan,87.17,89.47,92.83,94.03,97.77,98.88,99.27,99.44,99.42,99.42,99.39,99.49,99.40,99.24,99.27,99.20
Kenya,15.20,21.10,29.81,42.77,53.14,58.52,65.50,71.97,76.29,78.77,77.55,78.15,77.98,72.98,80.29,81.90
Kiribati,37.97,44.11,50.33,56.39,62.07,66.82,72.19,75.36,78.36,80.01,81.32,82.60,87.36,84.94,88.80,90.56
Kuwait,25.72,32.84,39.80,46.10,51.37,70.69,66.80,63.62,62.03,61.24,60.02,81.48,74.73,97.36,96.39,95.66
Kyrgyzstan,75.86,83.57,90.98,96.85,99.05,99.49,99.62,99.60,99.64,99.65,99.57,99.64,99.53,99.04,99.51,99.52
Lao People's Democratic Republic,23.46,29.88,37.02,44.29,52.10,57.72,65.17,67.67,70.56,71.43,74.70,79.01,81.86,84.40,83.99,86.59
Latin America and the Caribbean,35.97,40.07,45.03,51.25,58.38,65.36,71.25,75.42,78.43,81.27,83.89,86.78,89.44,90.68,92.22,93.21
Latvia,98.63,98.85,99.18,99.47,99.65,99.73,99.74,99.69,99.60,99.51,99.43,99.30,99.37,98.84,111.27,112.29
Lebanon,33.12,44.44,51.44,62.24,71.65,79.13,84.98,89.29,92.39,94.56,95.42,97.02,97.06,97.24,97.53,97.60
Lesotho,13.29,15.25,17.35,19.71,21.77,24.65,29.75,36.97,44.00,46.53,49.07,55.11,62.47,62.57,68.04,70.61
Liberia,12.16,17.08,23.17,30.16,38.69,48.66,52.02,55.21,56.90,54.62,54.94,58.04,53.96,49.00,51.49,56.15
Libyan Arab Jamahiriya,,,,,,,,,,,,,,,90.19,91.62
Lithuania,91.22,93.19,96.20,98.37,99.21,99.56,99.62,99.57,99.53,99.31,98.99,98.91,99.58,97.92,122.82,123.24
Luxembourg,99.96,99.95,99.96,99.97,99.97,99.98,99.99,99.98,99.98,99.98,99.98,99.99,100.00,99.99,116.35,118.04
Macao Special Administrative Region of China,36.70,47.69,58.62,68.58,76.97,75.55,82.11,88.42,93.04,96.37,98.11,98.68,99.29,99.39,99.43,98.55
Madagascar,11.15,15.11,19.51,26.40,32.51,35.14,35.88,43.53,47.19,38.66,40.63,34.54,40.85,46.66,51.35,55.98
Malawi,19.34,23.43,29.81,36.93,42.11,45.47,50.82,53.80,55.05,58.37,63.86,66.55,64.62,77.56,81.13,84.01
Malaysia,24.93,33.85,44.33,60.16,73.22,81.18,84.30,88.48,89.75,90.82,91.03,94.05,94.44,97.45,97.85,97.84
Maldives,0.65,1.49,3.18,6.39,11.79,22.16,31.23,44.78,64.19,82.08,91.07,94.52,96.37,97.09,108.82,108.69
Mali,3.25,4.19,4.98,6.15,9.18,14.45,16.74,17.23,17.11,17.02,21.58,24.58,33.69,38.81,46.29,53.73
Malta,85.20,90.33,95.76,98.84,99.75,99.91,99.97,99.99,100.01,100.00,100.00,100.00,99.99,100.00,99.97,99.78
Martinique,34.11,52.58,77.83,82.16,85.82,88.75,91.01,92.93,94.75,96.39,97.54,98.07,98.25,99.20,99.57,99.37
Mauritania,,,,,,,,,,,,,,,49.15,54.89
Mauritius,39.32,47.79,55.01,60.70,65.01,67.92,71.38,72.88,73.44,73.96,75.10,84.37,85.91,94.65,96.86,97.55
Mayotte,,,,,,,,,,,,,,,98.83,97.96
Melanesia,38.91,47.48,53.28,62.76,72.02,77.96,83.14,86.48,87.95,88.02,88.03,89.01,87.86,84.46,67.69,70.09
Mexico,16.86,24.89,34.56,45.14,55.90,65.15,73.94,80.22,85.29,88.29,89.29,91.94,94.25,95.82,108.14,109.18
Micronesia,30.11,42.33,56.02,66.43,75.60,80.73,84.05,84.43,85.54,86.51,86.70,87.52,89.43,89.17,94.28,94.70
Micronesia (Federated States of),21.19,40.54,61.30,75.89,88.34,91.96,92.95,91.81,91.34,90.92,90.36,91.46,91.58,93.31,94.05,94.76
Middle Africa,21.29,26.39,33.51,39.07,47.98,54.51,61.58,64.58,68.21,68.31,67.08,71.31,74.03,77.73,74.42,76.61
Mongolia,77.38,83.93,88.96,93.34,95.96,96.33,96.64,96.61,97.22,97.38,95.16,95.30,94.45,95.56,95.94,96.29
Montenegro,91.58,96.26,98.20,98.98,99.30,99.44,99.41,99.39,99.40,99.40,99.31,99.08,99.02,97.30,108.75,109.40
Morocco,1.77,4.31,12.95,20.80,33.26,41.10,43.22,45.23,54.59,59.69,57.55,65.05,66.21,76.05,85.59,86.94
Mozambique,5.57,7.00,8.75,11.27,13.18,17.34,23.42,28.02,28.27,29.16,33.59,41.16,46.26,51.58,47.86,45.95
Myanmar,37.08,39.40,45.23,50.79,55.29,59.54,62.97,64.25,67.07,68.14,67.15,71.37,75.17,78.51,80.15,83.32
Namibia,12.39,16.75,22.03,29.88,33.41,43.17,50.69,59.96,64.72,67.87,73.65,75.90,79.76,78.77,81.97,83.19
Nepal,9.51,12.36,15.45,19.94,25.89,33.00,39.84,47.15,54.62,61.21,67.06,73.73,78.03,82.87,86.44,89.06
Netherlands,95.33,96.96,97.41,98.42,98.38,98.29,98.56,98.49,98.66,98.71,98.97,99.17,99.42,99.59,125.15,125.87
New Caledonia,57.50,60.41,65.16,72.76,80.58,86.17,88.21,91.55,94.26,96.02,97.41,97.74,98.33,98.83,99.08,98.52
New Zealand,98.46,98.45,98.44,98.42,98.29,98.35,98.24,98.18,98.28,98.50,98.61,98.92,98.56,99.41,133.28,135.19
Nicaragua,12.94,16.84,21.79,26.27,32.79,40.46,47.33,52.64,53.88,53.47,57.26,60.88,63.06,67.58,71.93,75.80
Niger,0.19,0.40,0.80,1.28,2.83,5.44,7.37,9.65,12.18,12.96,14.66,20.14,24.59,32.75,39.56,47.76
Nigeria,17.44,21.21,25.57,30.77,35.43,43.11,54.53,62.74,66.66,69.63,72.04,74.64,77.20,78.00,76.70,78.31
Northern Africa,9.08,12.89,18.37,25.54,34.70,43.18,49.50,55.84,62.76,67.06,69.76,72.30,73.59,76.51,78.79,81.10
Northern America,93.91,93.54,95.06,96.42,97.16,97.40,97.59,97.81,97.95,98.08,98.19,98.90,98.96,99.56,99.60,99.51
Northern Europe,99.48,99.53,99.71,99.83,99.89,99.89,99.91,99.92,99.92,99.89,99.86,99.88,99.91,99.87,99.96,99.89
Norway,99.61,99.60,99.66,99.63,99.57,99.58,99.72,99.78,99.82,99.82,99.73,99.84,99.83,99.94,117.58,119.11
Occupied Palestinian Territory,18.79,32.76,50.80,68.28,79.34,84.20,86.32,88.64,90.43,91.57,92.96,94.63,95.85,96.74,114.72,116.12
Oceania,92.30,93.42,94.41,95.87,97.02,97.50,97.76,98.00,98.17,98.41,98.28,98.49,98.48,98.44,89.01,88.45
Oman,4.32,6.77,11.35,20.06,31.90,42.79,51.09,57.97,64.96,76.61,82.77,90.92,94.95,96.55,97.61,96.70
Pakistan,17.94,21.59,25.81,31.08,35.20,40.46,46.26,48.12,49.57,55.79,59.66,61.63,63.88,66.21,69.71,73.01
Panama,40.22,46.90,54.25,63.30,70.01,78.60,84.83,87.78,88.49,89.12,90.19,91.31,93.26,93.16,114.91,116.68
Papua New Guinea,,,,,,,,,,,,,,,64.67,67.54
Paraguay,25.24,30.29,36.24,42.59,49.09,55.60,61.79,67.28,71.90,75.05,78.65,81.08,82.92,85.01,86.87,88.46
Peru,47.79,53.21,56.28,62.59,71.09,78.69,83.44,81.64,83.87,88.15,90.29,92.60,94.51,95.97,112.68,113.36
Philippines,47.14,53.02,58.23,63.51,70.87,75.71,78.58,81.16,82.75,83.68,85.87,85.76,87.69,85.57,86.74,87.95
Poland,99.98,99.99,100.00,100.00,99.99,100.00,99.99,100.00,100.00,100.00,100.00,99.99,100.00,99.97,113.03,113.56
Polynesia,77.22,80.47,83.97,87.49,90.99,92.30,93.21,94.23,95.44,96.89,97.82,98.09,98.87,99.32,99.53,99.40
Portugal,14.46,16.57,20.32,27.32,34.22,42.29,54.96,67.08,77.33,85.91,91.50,93.43,95.59,96.17,111.22,112.23
Puerto Rico,68.90,69.59,75.88,82.35,85.35,88.24,92.11,93.45,93.39,94.60,95.34,97.25,98.30,99.04,122.26,121.16
Qatar,17.79,26.09,35.59,45.17,53.72,63.90,68.53,71.41,71.57,71.32,71.17,71.01,70.84,70.66,73.10,75.69
Republic of Korea,76.86,83.32,89.03,93.55,96.75,98.10,98.77,99.29,99.62,99.76,99.80,99.87,99.89,99.93,139.08,139.84
Republic of Moldova,87.07,93.30,95.62,97.69,99.17,99.39,99.42,99.40,99.38,99.59,99.32,99.24,99.70,99.82,99.87,99.78
Reunion,41.20,53.04,63.85,69.01,76.25,81.68,85.59,88.90,91.80,94.42,96.12,97.58,98.25,98.56,98.83,98.56
Romania,97.21,96.27,97.36,98.41,98.98,99.11,99.06,99.07,99.20,98.96,98.46,98.64,98.31,98.95,113.18,113.86
Russian Federation,99.29,99.17,99.35,99.48,99.67,99.69,99.69,99.66,99.63,99.62,99.56,99.52,99.49,99.46,125.41,125.59
Rwanda,2.21,2.96,4.18,5.65,6.55,6.76,7.52,11.13,18.09,25.51,31.25,38.42,44.20,52.99,61.37,69.08
Saint Lucia,49.78,60.69,67.71,77.21,83.98,88.67,91.78,93.40,94.80,95.95,96.69,96.31,97.34,95.28,121.82,122.89
Saint Vincent and the Grenadines,61.52,72.67,80.35,86.29,91.15,92.74,93.73,94.08,93.92,95.87,96.10,96.66,98.29,99.15,99.57,99.10
Samoa,91.28,92.87,94.08,94.96,95.68,96.37,97.08,97.68,98.06,98.53,98.30,98.21,99.11,99.49,99.69,99.40
Sao Tome and Principe,0.67,2.14,5.93,10.94,17.66,30.55,44.43,51.40,52.71,52.52,55.08,52.91,56.89,62.55,65.90,69.17
Saudi Arabia,14.02,23.37,35.27,47.94,63.65,70.07,71.12,75.03,75.95,78.93,79.90,88.45,91.06,96.50,110.19,111.60
Senegal,7.31,9.54,13.10,17.17,22.42,27.05,29.60,31.20,33.04,34.30,34.90,37.88,39.48,44.02,49.15,54.90
Serbia,82.37,86.54,94.21,96.70,97.93,98.22,98.41,98.80,98.93,98.98,98.83,98.58,98.60,97.73,99.43,99.35
Seychelles,,,,,,,,,,,,,,,98.83,98.43
Sierra Leone,4.09,5.76,8.07,11.15,15.20,22.83,25.30,34.23,36.53,38.45,39.62,47.09,61.19,73.48,76.84,89.28
Singapore,38.02,46.87,54.04,64.33,76.68,84.55,86.94,90.53,94.18,97.47,98.93,99.14,99.42,99.44,99.70,99.42
Slovakia,100.00,100.00,100.00,100.00,99.99,99.99,99.99,100.00,99.99,99.99,99.99,100.00,100.00,100.00,111.74,112.47
Slovenia,99.69,99.71,99.75,99.76,99.78,99.79,99.79,99.79,99.78,99.78,99.77,99.79,99.82,99.83,109.39,110.43
Solomon Islands,21.18,27.02,32.01,39.10,49.08,58.89,65.49,70.01,73.80,75.77,73.57,76.43,73.30,64.53,64.67,67.47
Somalia,4.03,5.72,7.96,10.84,13.98,18.04,22.96,27.76,30.96,27.81,28.84,26.02,27.04,31.66,36.86,42.75
South Africa,40.45,46.95,49.24,53.06,55.28,59.10,65.49,71.50,78.51,84.04,88.11,89.52,92.70,90.95,100.22,101.35
South America,40.58,43.90,47.96,53.25,60.06,66.83,72.21,75.49,78.03,81.21,84.58,87.77,90.80,91.80,93.39,94.45
South Sudan,10.37,11.18,12.80,14.55,16.66,19.00,21.75,24.83,28.50,32.54,36.14,40.82,43.87,46.97,49.91,53.33
South-Eastern Asia,43.27,49.20,56.79,64.98,71.81,77.17,80.21,83.07,86.12,86.98,88.36,88.94,90.44,91.09,92.04,92.78
Southern Africa,37.48,43.56,45.91,50.35,52.94,57.02,63.30,69.36,76.65,81.68,85.39,87.52,90.67,89.22,93.91,94.49
Southern Asia,26.77,30.53,35.63,40.13,45.30,50.74,54.04,56.90,60.23,64.34,68.85,73.47,77.07,80.18,84.66,88.11
Southern Europe,69.96,74.79,80.55,85.73,89.93,92.15,94.12,95.71,96.80,97.41,97.80,98.05,98.33,98.47,98.88,98.70
Spain,54.36,59.24,67.83,77.60,85.23,91.10,94.93,96.61,97.24,97.51,97.61,97.64,97.89,97.62,121.19,122.44
Sri Lanka,44.46,49.74,56.77,63.23,68.81,71.71,73.10,74.24,78.89,83.99,88.78,90.99,93.52,95.22,96.49,97.40
Sudan,4.15,6.11,8.64,12.14,15.99,21.17,29.70,35.89,37.99,40.78,41.29,42.97,40.96,41.00,43.44,46.78
Suriname,63.72,67.89,77.14,84.03,88.04,90.94,93.32,94.74,95.34,95.11,94.77,96.03,96.73,97.55,99.15,99.21
Swaziland,14.42,19.34,25.06,31.87,37.75,49.76,56.62,60.70,67.70,71.61,72.47,73.96,62.57,73.08,74.16,75.46
Sweden,99.94,99.95,99.96,99.97,99.98,100.00,100.00,99.99,100.00,100.00,99.99,99.99,100.00,100.00,123.53,125.16
Switzerland,97.19,97.59,97.86,98.25,98.38,98.38,98.24,98.42,98.79,98.61,98.95,99.08,99.17,99.21,110.80,112.84
Syrian Arab Republic,14.73,19.89,25.81,32.95,39.61,45.84,50.85,54.09,56.02,58.48,59.19,61.37,64.10,66.88,76.64,80.54
Taiwan Province of China,70.95,81.66,84.40,92.99,96.75,98.07,99.21,99.68,99.82,99.88,99.91,99.93,99.97,99.97,139.78,140.77
Tajikistan,86.35,91.02,94.29,96.36,97.89,98.68,98.96,99.00,99.03,99.04,98.98,98.52,98.70,96.86,99.98,99.96
Thailand,75.24,81.99,87.00,90.66,95.36,96.04,96.36,97.23,96.97,92.40,92.73,94.72,94.75,97.18,97.91,98.30
The former Yugoslav Republic of Macedonia,38.24,53.97,68.49,80.27,87.91,92.34,94.58,95.56,96.11,96.79,97.44,97.21,96.72,98.65,99.15,99.19
Timor-Leste,2.63,2.81,3.52,4.05,6.79,16.76,24.96,37.94,50.28,57.70,59.53,65.31,71.59,75.31,78.78,82.06
Togo,7.68,11.11,20.66,24.83,30.35,41.34,53.63,59.10,58.16,57.05,60.87,66.29,72.66,74.80,77.22,82.57
