Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2888.812966,2852.830859,2573.299551,2372.485169,2097.38187,1885.360627,1944.687005,2175.403742,2368.783309,2460.369442,2615.363768,2753.033697,2910.399375,3137.262614,3520.404526,3877.717389,4291.686472,4682.206767,5177.645348,5200.774186,5616.094117,5941.689992,6052.637371,6115.432881,6212.916674,5967.055951,5811.201592,5964.896688,6165.9132,6267.735087,6251.98899,6457.730537,6206.619097
Belgium,11715.826836,12258.299744,12845.966865,13305.127137,14096.667692,14466.626934,14822.717525,15310.618499,15890.132201,16895.704839,17951.322376,18632.842293,19542.886739,20724.740575,21602.801831,21116.991551,22270.853564,22382.648446,22997.27376,23514.511793,24532.456958,24464.586993,24616.837229,24695.564969,25305.032054,25715.357969,26174.755088,26755.698081,27930.485897,28794.654884,29609.620752,30040.55084,30376.874534,29967.394424,30839.241434,31508.622664,31862.669387,32991.501012,33566.987592,34676.605156,35878.315359,36148.288092,36600.862592,36826.26993,37976.697297,38645.260519,39371.085828,40520.084321,40380.9075,39293.637547,39991.564621,40236.959631,40074.4928,40007.899789,40533.913503,40893.804538,41172.886283,41619.328629,42208.362565,43006.404231,40769.021807,43140.967665,44486.743856
Belize,1556.528125,1592.328164,1628.323716,1662.938768,1696.263362,1727.661899,1755.887061,1786.430374,1860.506026,1900.393668,1947.283371,1990.27838,2160.731173,2244.524164,2514.282459,2560.628968,2507.600678,2615.718357,2765.393333,2911.044759,3187.404266,3142.844613,3062.067199,2924.440593,2912.412362,2874.338863,2937.64708,3180.929917,3415.702581,3775.479551,4112.595175,4499.579713,4967.927105,5166.828674,5056.952012,4967.961538,4875.65675,4915.340341,4931.454991,5213.566283,5663.646324,5764.990555,5895.15235,6274.474283,6383.074324,6337.123892,6435.587673,6465.828858,6187.95885,5997.684472,5937.753983,5802.243445,5902.742347,6013.078799,6116.495789,6154.622642,6012.21297,5767.61922,5707.6106,5864.146118,5006.484533,5839.40158,6262.560883
Benin,655.913008,665.43125,631.420715,649.260123,679.356447,701.332145,711.858171,704.838582,716.640156,721.532497,720.605099,694.034045,721.876316,731.31312,737.948326,684.962292,674.040867,689.858786,680.651098,706.104432,733.490637,783.925194,778.638765,723.483521,758.361166,791.727165,785.14307,750.403841,752.704035,709.188908,749.459667,757.403145,756.080888,765.479914,752.277509,781.064788,793.795053,814.901395,821.459971,838.976787,861.213292,879.854464,893.137101,896.146763,907.624431,893.915369,900.620536,926.740114,943.20338,936.565651,928.246655,927.716413,943.918772,982.399206,1014.433006,1002.418869,1006.039266,1032.904712,1071.504522,1114.173045,1126.654041,1176.377276,1218.496689
Bermuda,39906.021942,40887.255328,41637.363142,41060.97613,44570.998599,45658.594455,51062.408151,56696.152709,56867.577462,57787.656227,60471.255278,61975.665564,62864.873349,63625.277933,64050.324186,66372.492455,72195.161096,76292.239384,77242.7029,78775.061427,84785.746225,86283.598798,81137.131931,82177.835572,81986.71944,79797.382717,84596.352872,87182.187403,90024.092284,89743.055816,89089.734642,85311.049429,84642.608493,86582.8345,86545.782356,89849.125014,91743.296234,95383.022511,98347.908982,100867.91458,109502.763103,116809.925253,114574.433609,118018.831593,120432.120526,122143.799578,128662.931924,132595.482655,129525.177139,121727.584909,118382.908991,113937.835701,108040.575659,107860.394792,103941.982607,104855.366822,104190.87672,107734.608357,106843.163739,106709.881239,98999.507662,103134.729484,109642.671878
Bhutan,,,,,,,,,,,409.39951,406.291419,397.262037,389.593922,395.977781,370.056039,389.665426,406.337369,420.682203,426.159562,432.838643,482.235723,483.023534,516.678056,523.422165,527.7916,570.054288,713.587146,725.554916,756.380976,812.671326,795.191843,863.463896,917.291293,963.016574,1043.38749,1099.858178,1138.399223,1182.987811,1248.616008,1259.623765,1321.098782,1427.256933,1506.415275,1552.739152,1632.021695,1701.118782,1952.257346,2017.760189,2148.564804,2378.728108,2552.488711,2654.747989,2671.074602,2797.81884,2954.040819,3173.367732,3211.809033,3300.550065,3467.38599,3092.124284,3206.20367,3349.733096
Bolivia,1276.965772,1277.284946,1321.009162,1381.644097,1406.290446,1444.227124,1514.706978,1575.496361,1672.332106,1708.503594,1758.010163,1805.973923,1906.555585,1971.132722,1983.716503,2081.069442,2127.832948,2182.67537,2176.909828,2130.754476,2054.797269,2015.245761,1894.059473,1778.787435,1737.687278,1672.789782,1595.835034,1601.018347,1613.048471,1639.11334,1679.408479,1731.395142,1724.363345,1762.668309,1809.570651,1858.781852,1904.287021,1962.864043,2025.503347,1998.94534,2014.190247,2013.845811,2029.669936,2050.071334,2099.990811,2156.186703,2221.427226,2283.427336,2383.250326,2422.575794,2481.407009,2568.520517,2657.238849,2793.514571,2900.902416,2996.012898,3077.570576,3160.164212,3204.536708,3207.386952,2765.092718,3011.551108,3088.241262
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,791.44397,715.900064,705.206671,748.150021,871.398491,1013.22445,1498.005933,1974.057427,2262.032632,2452.851884,2567.34137,2617.182304,2743.138786,2855.683149,3063.835434,3217.813416,3419.758875,3665.089665,3929.032977,3877.535401,3981.209857,4094.253295,4139.917328,4306.731751,4412.676178,4662.258692,4876.534715,5099.816029,5360.25201,5583.297213,5490.753666,5995.541976,6327.162068
Botswana,393.861742,409.502166,426.901638,441.728046,460.824434,480.49065,508.141727,535.405247,588.90719,674.389989,785.474884,971.592899,1184.473701,1370.732827,1419.442069,1464.687852,1539.173873,1635.512591,1760.570704,1859.494579,2002.996153,2111.345639,2276.049825,2484.517956,2603.448657,2693.781882,2816.769372,3050.231762,3536.423254,3888.730451,4039.465445,4224.098575,4226.739995,4186.145474,4219.440809,4399.138858,4543.210535,4809.443918,4724.936709,5070.94772,5062.642892,4971.963718,5175.476553,5320.440295,5369.425168,5514.217427,5865.000265,6085.635448,6158.616294,5179.413861,5584.503432,5850.078586,5742.919245,6284.97678,6547.122541,6141.203947,6490.834636,6662.576448,6843.84612,6951.731891,6254.248062,6895.911849,7159.586062
Brazil,2603.518711,2743.388573,2838.471973,2772.57963,2785.074112,2772.671445,2878.699462,2921.37209,3126.535122,3338.76209,3595.950449,3907.01181,4268.383356,4748.261918,5013.81667,5148.910026,5543.435742,5679.785257,5821.490643,6069.054045,6472.851401,6055.097118,5967.778309,5664.963033,5841.749193,6167.512727,6494.280132,6591.60807,6463.004709,6545.425003,6149.867182,6107.648134,5973.982169,6167.460212,6427.16828,6596.334968,6640.726243,6764.857643,6687.494466,6621.636001,6817.783456,6823.033185,6944.622576,6941.439659,7258.781017,7409.56828,7622.039194,8003.25321,8330.76364,8246.096121,8792.63335,9067.99212,9167.498185,9366.738247,9338.341708,8936.195589,8577.84278,8628.252096,8722.3353,8771.439504,8435.010462,8799.228446,9032.083777
