Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belarus,69.25461,69.73839,69.462317,69.70978,70.619244,70.597488,70.768927,70.92978,70.81278,70.978024,70.744488,71.011707,70.849317,71.000659,70.854683,70.457098,70.396829,70.289024,70.081732,69.933634,69.927707,69.907512,70.076902,69.794854,69.563195,70.992683,71.549512,70.990244,71.341463,71.482927,70.836585,70.378049,70.021951,68.970732,68.768293,68.460976,68.512195,68.460976,68.407317,67.907317,68.912195,68.507317,68.056098,68.553659,68.956098,68.85122,69.404878,70.207317,70.456098,70.407317,70.404878,70.553659,71.965854,72.470732,72.970732,73.62439,73.826829,74.129268,74.17561,74.226829,72.138561,72.071463,74.103366
Belgium,69.701951,70.520976,70.219512,70.051463,70.755122,70.625366,70.706341,71.012927,70.693171,70.764878,70.971951,71.060488,71.405122,71.635366,71.985854,71.97122,72.119756,72.773902,72.698049,73.193659,73.207073,73.621707,73.888049,73.869024,74.404878,74.520244,74.731707,75.365854,75.565854,75.632683,76.051951,76.192195,76.35122,76.345366,76.691707,76.840732,77.187317,77.370732,77.473171,77.619512,77.721951,77.973171,78.07561,78.129268,78.878049,78.980488,79.380488,79.782927,79.680488,80.034146,80.182927,80.585366,80.385366,80.587805,81.287805,80.992683,81.439024,81.492683,81.595122,81.995122,80.695122,81.790244,81.74878
Belize,57.389,52.944,58.741,59.316,59.84,60.356,60.86,61.437,61.961,62.497,63.044,63.546,64.025,64.487,64.936,65.377,65.765,66.135,66.338,66.677,66.884,67.095,67.339,67.601,67.952,68.347,68.743,69.108,69.401,69.534,69.569,69.645,69.601,69.595,69.585,69.484,69.363,69.183,68.906,68.976,68.911,68.944,69.528,69.819,70.152,70.335,70.535,70.652,70.665,70.806,70.875,70.975,71.134,71.276,71.437,71.647,71.843,72.062,72.322,72.577,71.58,70.917,72.19
Benin,38.775,39.233,39.643,40.081,40.502,40.971,41.274,41.759,42.182,42.591,43.029,43.391,43.928,44.435,44.876,45.405,45.952,46.504,46.941,47.362,47.747,48.122,48.493,48.845,49.399,49.959,50.632,51.258,52.019,52.45,53.02,53.441,54.137,54.612,54.988,55.366,55.648,55.986,56.154,56.336,56.594,56.654,56.851,57.092,57.346,57.738,57.966,58.249,58.099,58.258,58.387,58.462,58.559,58.863,59.008,59.123,59.283,59.528,59.71,59.888,60.154,59.61,60.475
Bermuda,66.482,67.528,67.884,67.689,67.5,67.582,67.718,67.792,67.898,68.088,68.404,68.98,69.643,70.374,70.864,71.171,71.331,71.616,71.968,72.402,72.666,72.892,73.041,73.24,73.365,73.373,73.368,73.454,73.555,73.733,73.952,74.204,74.446,74.766,75.276,75.92,76.52,76.972,77.389,77.854,78.251,78.637,78.841,78.715,78.898,78.874,78.87,79.006,79.101,79.229,79.414,79.651,79.847,80.016,80.199,80.338,80.476,80.686,80.986,81.251,81.456,81.745,82.062
Bhutan,36.367,36.654,36.992,37.37,37.796,38.263,38.789,39.359,39.96,40.566,41.185,41.83,42.487,43.136,43.8,44.513,45.23,45.95,46.691,47.446,48.198,48.975,49.776,50.553,51.313,52.033,52.826,53.62,54.385,55.12,55.811,56.451,57.208,57.906,58.395,59.277,59.982,60.639,61.322,62.032,61.842,63.323,63.984,64.662,65.29,65.875,66.499,67.152,67.733,68.156,68.765,69.28,69.759,70.161,70.504,70.797,71.119,71.413,71.711,72.005,72.253,72.448,72.754
Bolivia,43.338,43.628,44.002,44.335,44.674,45.09,45.479,45.904,46.342,46.705,47.103,47.483,47.829,48.282,48.752,49.336,49.971,50.387,50.838,51.353,51.828,52.259,52.511,52.861,53.383,53.777,54.247,54.901,55.505,56.146,56.797,57.439,57.923,58.66,59.282,59.787,60.287,60.745,61.227,61.655,62.057,62.538,63.068,63.455,63.819,64.182,64.529,64.939,65.299,65.656,66.003,66.282,66.586,66.777,66.97,67.205,67.392,67.536,67.699,67.82,62.906,61.427,67.434
Bosnia and Herzegovina,58.53,59.285,60.122,60.511,61.511,62.213,63.129,63.734,64.006,64.448,64.844,65.181,65.682,66.586,67.635,68.329,68.574,68.779,68.844,69.083,69.603,70.055,70.076,70.097,70.229,70.582,70.751,70.876,70.97,71.445,71.509,71.813,51.967,50.894,66.603,70.188,73.454,73.895,74.472,74.946,75.292,75.573,75.994,76.449,76.489,76.424,76.028,76.162,76.3,76.701,76.827,76.963,77.037,77.129,77.089,77.073,77.124,77.385,77.942,77.394,76.04,74.567,76.777
Botswana,51.22,51.781,52.313,52.848,53.358,53.853,54.36,54.859,55.372,55.903,56.446,57.062,57.669,58.286,58.914,59.53,60.209,60.867,61.485,62.035,62.527,63.027,63.382,63.605,63.706,63.647,63.363,62.837,61.696,61.189,60.104,58.911,58.19,57.316,55.97,54.713,54.284,53.594,52.968,52.499,52.263,52.21,52.373,52.851,53.573,54.386,55.112,56.735,57.661,58.297,59.137,59.715,60.384,61.217,62.167,63.215,64.32,65.42,66.371,67.167,67.643,63.303,68.749
Brazil,53.162,53.594,54.017,54.452,54.848,55.243,55.625,56.016,56.47,56.898,57.338,57.786,58.255,58.681,59.081,59.556,60.007,60.461,60.922,61.365,61.819,62.267,62.708,63.133,63.553,63.98,64.389,64.785,65.161,65.514,65.862,66.203,66.539,66.892,67.293,67.701,68.108,68.505,68.848,69.211,69.584,69.98,70.396,70.884,71.361,71.832,72.296,72.73,73.111,73.457,73.779,74.047,74.335,74.609,74.823,75.106,75.081,75.383,75.633,75.809,74.506,73.038,74.872
British Virgin Islands,62.709,63.274,63.828,64.313,64.757,65.149,65.496,65.857,66.022,66.245,66.407,66.665,66.899,67.191,67.652,68.069,68.408,68.68,69.028,69.315,69.645,69.906,70.138,70.374,70.711,70.987,71.252,71.492,71.763,72.038,72.392,72.75,73.109,73.431,73.794,74.089,74.341,74.469,74.569,74.652,74.753,74.831,74.971,75.183,75.404,75.569,75.745,75.893,76.07,76.205,76.289,76.363,76.433,76.472,76.527,76.558,76.624,75.67,76.728,76.845,76.894,75.297,77.177
Brunei Darussalam,58.721,59.387,58.824,60.625,61.267,61.721,62.401,62.909,63.47,63.963,64.49,64.975,65.447,65.95,66.442,66.95,67.411,67.833,68.258,68.642,69.014,69.344,69.669,69.991,70.236,70.499,70.762,70.982,71.183,71.408,71.629,71.858,72.09,72.333,72.571,72.838,73.079,73.326,73.584,73.806,74.017,74.209,74.365,74.509,74.603,74.683,74.753,74.793,74.814,74.814,74.82,74.835,74.843,74.854,74.862,74.88,74.905,74.943,74.992,75.049,75.114,74.869,72.917
Bulgaria,69.247561,70.19561,69.491951,70.309268,71.12122,71.293902,71.223415,70.413902,71.225122,70.43,71.256341,70.873659,70.899512,71.342195,71.208049,71.049756,71.394878,70.816098,71.184634,71.308293,71.157561,71.571951,71.186098,71.386341,71.499756,71.228049,71.730732,71.526829,71.60439,71.722439,71.641463,71.560976,71.49439,71.346829,71.20878,71.053415,70.897317,70.35122,71.060976,71.412195,71.663415,71.768293,71.865854,72.065854,72.563415,72.560976,72.612195,72.663415,72.963415,73.412195,73.512195,74.163415,74.314634,74.860976,74.465854,74.614634,74.812195,74.814634,74.963415,75.112195,73.356098,71.212195,74.160976
Burkina Faso,36.074,36.361,36.753,37.093,37.399,37.758,38.091,38.432,38.76,39.023,39.54,39.853,40.399,40.947,41.711,42.486,43.327,44.167,44.995,45.702,46.465,46.866,47.633,48.061,48.464,48.748,48.987,49.097,49.215,49.27,49.315,49.33,49.378,49.412,49.469,49.554,49.693,49.56,50.163,50.463,50.808,51.188,51.447,51.959,52.6,53.271,53.784,54.377,55.199,55.791,56.343,57.001,57.457,57.903,58.331,58.778,59.173,59.578,59.972,60.184,60.454,60.046,60.7
Burundi,43.262,43.364,43.492,43.559,43.601,41.844,43.529,43.332,43.405,43.0,43.225,43.172,25.777,37.409,43.337,43.445,43.691,43.97,44.404,45.038,45.731,46.412,47.012,47.433,47.687,47.662,47.402,47.066,42.889,45.745,45.184,44.66,44.469,37.221,44.515,44.589,44.807,45.721,46.678,47.627,47.617,48.509,49.924,50.997,52.217,53.053,53.962,54.832,55.581,56.422,57.088,57.804,58.501,59.179,59.764,60.107,60.789,61.345,61.806,62.18,62.569,62.101,62.882
Cabo Verde,48.713,49.419,50.239,51.145,52.089,53.04,53.922,54.716,55.426,56.038,56.559,57.027,57.486,57.979,58.432,58.976,59.396,59.986,60.381,60.726,61.031,61.299,61.519,61.767,61.829,62.281,62.584,62.91,63.242,63.566,63.869,64.066,64.253,64.458,64.648,63.691,65.521,66.082,66.714,67.409,68.117,68.707,69.447,70.006,70.499,70.936,71.341,71.487,71.888,72.142,72.507,72.913,73.315,73.481,73.788,74.096,74.35,74.71,74.84,75.449,73.818,74.424,75.907
Cambodia,42.134,42.588,43.079,43.612,44.044,44.497,44.948,45.193,45.586,45.935,38.628,38.7,38.909,39.078,39.296,12.784,11.632,11.295,11.573,41.072,47.498,48.035,48.755,49.383,50.089,50.799,51.555,53.674,54.433,54.768,55.205,55.582,55.747,56.036,56.221,56.562,56.832,57.266,57.859,58.611,59.491,60.457,61.395,62.345,63.256,64.113,64.886,65.549,66.147,66.747,67.311,67.869,68.371,68.755,69.117,69.398,69.635,69.842,69.993,70.127,70.059,69.301,70.528
Cameroon,34.667,35.186,42.599,43.074,43.596,44.175,44.839,45.602,46.389,47.191,47.954,48.577,49.12,49.517,49.734,49.891,50.017,50.13,50.319,50.535,50.852,51.227,51.801,52.447,52.886,53.465,53.572,54.188,54.359,54.389,54.348,54.168,54.053,53.872,53.537,53.347,53.2,53.105,53.043,53.166,53.338,53.598,53.922,54.253,54.578,54.904,55.301,55.71,56.116,56.486,56.965,57.482,58.17,58.73,59.13,59.687,60.293,60.817,61.189,61.695,61.674,61.146,62.443
Canada,71.133171,71.346098,71.367073,71.380732,71.776341,71.872195,72.00439,72.207805,72.353415,72.501463,72.700488,73.029268,72.933902,73.162683,73.237561,73.521707,73.856098,74.21561,74.529756,74.866341,75.102195,75.497805,75.725122,76.060488,76.331951,76.327317,76.463902,76.77878,76.85878,77.124878,77.436585,77.593415,77.838049,77.704878,77.871707,77.977317,78.220244,78.412439,78.623659,78.839024,79.166829,79.398049,79.530732,79.715122,79.992195,80.112683,80.543659,80.543659,80.724634,81.066098,81.322195,81.482683,81.663659,81.744878,81.78439,81.825854,81.94,81.812927,81.80878,82.163659,81.535122,81.516829,81.245366
Caribbean small states,60.296076,60.671113,61.366755,61.717282,62.116938,62.427899,62.688492,62.919213,63.147976,63.33756,63.491125,63.642161,63.85759,64.052426,64.263256,64.483005,64.756251,64.972608,65.124541,65.347242,65.501582,65.663476,65.778323,65.84727,66.13987,66.30206,66.411303,66.570945,66.74044,66.9248,67.045151,67.219377,67.353289,67.475565,67.521661,67.555572,67.626402,67.736543,67.984923,68.209564,68.397676,68.661972,68.899714,69.087649,69.36097,69.632051,69.934423,70.293733,70.549997,70.797738,71.011437,71.266093,71.401914,71.569251,71.773941,71.864102,72.051636,72.173104,72.221085,72.12926,71.939436,69.922811,72.832292
