Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Belize,0.496124,0.487765,0.582309,0.579699,0.5102,0.605889,0.538697,0.582101,0.570242,0.551956,0.533565,0.479212,0.409707,0.392202,0.45425,0.445676,0.562207,0.479753,0.369334,0.541017,0.69097,0.774166,0.634611,0.606972,0.577106,0.635819,0.513528,0.854465,0.838911,0.846567,0.580152,0.57372,0.555449,0.567518,0.504991,0.539447,0.60616,0.568727,0.534891,0.62921,0.728505,0.458298,0.487121,0.602119,0.586089,0.693733,0.715099,0.762858,0.748502,1.032063,0.815226,0.850141,0.880236
Benin,0.150209,0.115639,0.144191,0.145394,0.145689,0.159517,0.103873,0.118155,0.122394,0.133716,0.136679,0.110492,0.124573,0.119398,0.119113,0.136161,0.118513,0.104493,0.0918,0.078529,0.075471,0.064348,0.067784,0.065626,0.064316,0.064014,0.168355,0.20731,0.193755,0.205846,0.214093,0.249449,0.27919,0.303296,0.313564,0.332477,0.44392,0.491246,0.473123,0.492617,0.518654,0.491508,0.45442,0.464168,0.494995,0.511448,0.610993,0.601714,0.666298,0.639872,0.666089,0.502981,0.513056
Bermuda,2.662881,2.636531,3.200576,3.220262,2.863013,3.461386,3.13287,3.452609,3.445565,3.402657,3.353641,2.842751,2.796624,2.87712,3.090504,2.995661,2.916495,4.413045,5.142948,6.347039,4.386803,3.930395,3.083535,3.419138,3.365206,3.364916,3.415645,3.48472,3.540626,3.55834,2.443542,2.403543,2.664864,2.741,2.765566,2.965987,3.685903,4.397715,4.406003,3.849603,4.84896,2.406916,2.792006,3.114481,4.281509,3.635132,4.912607,4.487401,4.71401,4.718673,3.327017,3.785113,3.976895
Bhutan,0.113766,0.116224,0.122024,0.124084,0.122193,0.117007,0.117837,0.120264,0.122642,0.122376,0.119519,0.174394,0.168005,0.165249,0.157067,0.16208,0.158299,0.237903,0.239683,0.235884,0.306642,0.313279,0.321752,0.358409,0.464565,0.585413,0.652169,0.677111,0.695251,0.687632,0.679218,0.719064,0.764563,0.77784,0.770125,0.820258,0.847646,0.850671,0.844612,1.154343,1.28985,1.559396,1.470976,1.526046,1.540363,1.768253,1.904619,1.953509,2.30402,2.36172,1.835181,1.991767,1.942852
Bolivia,0.659105,0.803712,0.936913,0.852959,0.793971,0.882835,0.974946,0.915235,1.019272,0.88658,0.864662,0.899983,0.917534,0.92471,0.827127,0.797577,0.727648,0.73988,0.784389,0.88416,0.923446,0.947682,1.000022,1.172803,1.241581,1.101518,1.04536,1.244824,1.223916,1.049338,0.953345,0.906722,0.951411,0.996509,1.026935,1.061581,1.13232,1.238494,1.303785,1.363721,1.452779,1.555214,1.620551,1.694502,1.794009,1.811424,1.910614,1.920149,1.908655,1.884926,1.571211,1.83203,1.936077
Bosnia and Herzegovina,2.978814,2.960222,2.880904,3.10909,3.328586,3.363758,3.304115,3.448311,3.58461,3.677388,3.517888,3.872935,3.965507,4.16345,4.308356,4.505972,4.688597,4.303426,4.36632,4.42063,5.523898,4.932774,3.832366,3.488401,0.885862,0.945967,1.135257,2.170933,2.702357,2.637142,3.43317,3.372894,3.540638,3.634945,3.872048,4.112371,4.599864,4.914806,5.485005,5.582796,5.829139,6.75293,6.351521,6.42872,5.833576,5.920323,6.768264,6.996799,7.104872,6.754529,6.83056,7.09102,6.989075
Botswana,0.260192,0.255961,0.316834,0.402356,0.661465,0.778478,1.078565,1.167747,1.242053,1.331756,1.352662,1.428872,1.432918,1.354603,1.303084,1.347214,1.497781,1.504378,1.751956,1.87802,2.162065,2.081004,2.46197,2.359598,2.200445,2.22953,1.961178,2.046076,2.381855,2.456277,2.444047,2.310288,2.393104,2.328837,2.242984,2.38641,2.213158,2.314199,2.312548,2.07362,1.663559,1.935487,1.67157,2.579458,3.290955,3.218394,3.021511,3.28259,3.570377,3.148258,2.574883,2.72603,2.80246
Brazil,1.123335,1.092483,1.160927,1.317863,1.389301,1.454057,1.559924,1.591104,1.679934,1.751826,1.708799,1.541752,1.491592,1.39937,1.392693,1.461436,1.568121,1.579869,1.583615,1.576526,1.521282,1.550607,1.547209,1.590168,1.62465,1.731406,1.830875,1.915547,1.9423,1.957072,2.007879,1.992821,1.968796,1.918394,1.999783,1.999357,2.002042,2.084967,2.168394,2.007463,2.271128,2.37419,2.52902,2.637445,2.731035,2.568189,2.375335,2.41695,2.285624,2.258699,2.146646,2.415809,2.278896
British Virgin Islands,0.734924,0.72313,0.869565,0.868139,0.76234,0.914577,0.821739,0.898148,0.891053,0.875513,0.853549,1.219618,1.098901,1.034762,0.74103,0.723491,0.444412,1.190644,1.246594,1.231884,1.165308,1.136715,1.114928,1.059509,1.057107,1.014574,1.285066,1.284922,1.283917,1.272174,1.37345,1.331987,1.441904,1.55417,1.551506,1.576167,1.829094,1.91595,2.088405,2.329341,2.547425,1.922675,1.881694,2.062896,2.123658,2.078381,2.278765,2.052051,1.918804,2.401429,2.278174,2.234918,2.30695
Brunei Darussalam,14.980242,13.566462,15.492056,18.150357,18.184677,18.101474,20.214294,19.999764,19.956657,17.535001,21.24646,17.303114,18.667272,19.688289,18.444588,17.580932,15.99947,15.938596,16.845085,16.103506,16.843849,18.696781,19.869255,19.536341,19.338874,19.965659,20.476673,21.291933,18.385006,18.810874,18.610151,17.584785,16.342594,18.615728,17.764252,16.742636,23.625923,22.067932,23.578521,20.836104,18.809325,19.683066,18.794892,18.942515,19.45243,17.444554,18.475363,18.188792,18.341975,17.176064,22.637035,22.107009,20.943628
Bulgaria,8.13532,8.083389,8.315419,8.385962,8.430124,8.975085,9.03624,9.33094,10.007928,10.36574,10.676299,10.203656,10.383487,10.25237,10.056649,10.298534,10.423802,10.446243,10.339059,10.330505,9.182341,7.520649,7.262636,7.416428,7.108575,7.300394,7.372938,7.13749,6.885827,6.104262,5.896804,6.295805,6.073296,6.875968,6.668969,6.853465,7.108991,7.639035,7.282263,6.251119,6.694441,7.455329,6.832366,6.208376,6.688983,7.138544,6.836256,7.243835,6.90134,6.745904,6.016933,7.049174,7.647697
Burkina Faso,0.040408,0.039751,0.038934,0.039513,0.041727,0.042472,0.043069,0.043508,0.04315,0.048301,0.046215,0.043164,0.039168,0.04157,0.039113,0.036763,0.043505,0.06008,0.057382,0.046306,0.035734,0.04923,0.041021,0.041938,0.044568,0.044644,0.048152,0.074463,0.068679,0.069815,0.073171,0.082985,0.085388,0.092199,0.079189,0.081703,0.079986,0.110311,0.124544,0.117256,0.121306,0.133064,0.150329,0.171824,0.151058,0.209618,0.203332,0.228245,0.264797,0.271888,0.265431,0.292659,0.288262
Burundi,0.016514,0.016145,0.01609,0.016611,0.017335,0.017516,0.01772,0.017848,0.017633,0.019579,0.018523,0.01936,0.015743,0.018675,0.021598,0.021136,0.021757,0.030908,0.042812,0.044575,0.03594,0.049914,0.038184,0.043827,0.045101,0.041854,0.044873,0.044563,0.046338,0.047182,0.045207,0.035542,0.032634,0.026281,0.02997,0.024251,0.029292,0.045676,0.025947,0.024856,0.034117,0.042746,0.039648,0.043317,0.037547,0.039375,0.043232,0.047476,0.065475,0.062438,0.073377,0.069215,0.069822
Cabo Verde,0.521041,0.510124,0.501705,0.514871,0.550947,0.566296,0.580052,0.594245,0.597507,0.682672,0.662231,0.624684,0.245849,0.26536,0.308317,0.302851,0.096505,0.141337,0.172495,0.18896,0.143303,0.176033,0.170558,0.162701,0.186969,0.183447,0.215235,0.21026,0.211922,0.217684,0.618111,0.705637,0.773585,0.767243,0.812525,1.251868,1.346163,1.509502,1.446879,1.399017,1.470819,1.70438,1.461066,1.428083,1.510952,1.543344,1.620122,1.73155,1.550597,1.629826,1.220761,1.254043,1.308536
